"","v","desc"
"1","male","Sex of individual"
"2","black","Individual is Black Race"
"3","white","Individual is White Race"
"4","edu","Highest Grade Completed Ever"
"5","birthmonth","Birth month"
"6","h_sentscore1972","Sentence Completion Test Raw Score"
"7","birthyear","Birth year"
"8","birthstate","Approx. State of Birth"
"9","hours","Annual hours worked"
"10","age","Years of Age"
"11","inc_labor","Income from labor (all sources) (2014 Dollars)"
"12","int_id","Family Interview Number"
"13","hhchildren","Number of children under 18 living in family"
"14","married","Marital Status: Married"
"15","fam_inc","Total Family Income (2014 Dollars)"
"16","workexp","Years working since 18"
"17","health","Subjective Health"
"18","height","Total Height in inches"
"19","weight","Physical weight in lbs"
"20","bmi","Body Mass Index"
"21","hhdens","Household density (persons per room)"
"22","inc_wcomp","Annual income from worker's compensation (2014 Dollars)"
"23","inc_unemp","Annual income from unemployment and (for year < 1977) worker's compensation (201"
"24","inc_trans_pub","Annual income from government transfers (2014 Dollars)"
"25","inc_ssi","Annual income from social security (2014 Dollars)"
"26","inc_othwelf","Annual income from other welfare (2014 Dollars)"
"27","inc_fdstmp","Annual income from food stamps"
"28","inc_ch","Child support (2014 Dollars)"
"29","inc_al","Alimony or child support received (2014 Dollars)"
"30","inc_afdc","Annual income from ADC/AFDC/TANF for head and (year < 1986) wife"
"31","m_edu","Mother Years of Education"
"32","f_edu","Father Years of Education"
"33","f_inc_labor","Father Income from labor (all sources) (2014 Dollars)"
"34","m_inc_labor","Mother Income from labor (all sources) (2014 Dollars)"
"35","m_prison","Mother In institution"
"36","f_prison","Father In institution"
"37","prison","In institution"
"38","region","Broad Geographical region"
"39","state","Current State (geographic)"
"40","med10","Diagnosed with other chronic condition"
"41","med1","Diagnosed with emotional, nervous, or psychiatric problems"
"42","med12","Diagnosed with stroke?"
"43","med15","How long limited by health"
"44","med2","Diagnosed with arthritis or rheumatism"
"45","med3","Diagnosed with asthma"
"46","med4","Diagnosed with high blood pressure or hypertension?"
"47","med5","Diagnosed with cancer, or malignant tumor, not skin cancer"
"48","med6","Diagnosed with diabetes or high blood sugar"
"49","med7","Diagnosed with heart attack"
"50","med8","Diagnosed with coronary heart disease, angina, or congestive heart failure"
"51","med9","Diagnosed with chronic lung disease such as bronchitis or emphysema"
"52","medcost1","Total cost of family medical care for past 2 years (2014 Dollars)"
"53","medcost2","Cost of doctors, outpatiant surgery, and dentistry for past 2 years (2014 Dollar"
"54","medcost3","Cost of nursing home and hospital for past 2 years (2014 Dollars)"
"55","medcost4","Cost of prescriptions, in-home medical care, special facilities and other for pa"
"56","occ","Occupation of Head"
"57","study","Currently enrolled in school"
"58","works","Currently working"
"59","head","Head in 1968"
"60","wife","Wife of Head in 1968"
