"birthyear","birthmonth","f_id","black","white","id","male","h_sentscore1972","birthstate","inc_labor","hours","edu","hhchildren","married","fam_inc","works","age","state","f_edu","m_edu","f_inc_labor","m_inc_labor","region","state","study","head","wife"
1955,8,1335001,0,1,1335006,1,10,24,NA,300,NA,9,NA,37962,NA,12,24,9,11,32524.19921875,684,2,24,NA,0,0
1952,9,1335001,0,1,1335004,0,10,24,NA,50,NA,9,NA,37962,NA,15,24,9,11,32524.19921875,684,2,24,NA,0,0
1950,10,1335001,0,1,1335003,1,10,24,NA,60,NA,9,0,37962,NA,17,24,9,11,32524.19921875,684,2,24,NA,0,0
1962,5,1335001,0,1,1335010,1,10,24,NA,NA,NA,9,NA,37962,NA,5,24,9,11,32524.19921875,684,2,24,NA,0,0
1958,4,1335001,0,1,1335008,1,10,24,NA,NA,NA,9,NA,37962,NA,10,24,9,11,32524.19921875,684,2,24,NA,0,0
1959,5,1335001,0,1,1335009,1,10,24,NA,NA,NA,9,NA,37962,NA,8,24,9,11,32524.19921875,684,2,24,NA,0,0
1953,9,1335001,0,1,1335005,0,10,24,NA,80,NA,9,NA,37962,NA,14,24,9,11,32524.19921875,684,2,24,NA,0,0
1956,10,1335001,0,1,1335007,1,10,24,NA,NA,NA,9,NA,37962,NA,11,24,9,11,32524.19921875,684,2,24,NA,0,0
1964,10,1335001,0,1,1335011,0,10,24,NA,NA,NA,9,0,37962,NA,3,24,9,11,32524.19921875,684,2,24,NA,0,0
1967,10,1411001,1,0,1411013,1,9,29,NA,NA,NA,9,NA,44029.078125,NA,1,29,12,11,43776,0,1,29,NA,0,0
1966,5,1411001,1,0,1411012,1,9,29,NA,NA,NA,9,NA,44029.078125,NA,2,29,12,11,43776,0,1,29,NA,0,0
1954,8,1411001,1,0,1411005,1,9,29,NA,NA,NA,9,NA,44029.078125,NA,13,29,12,11,43776,0,1,29,NA,0,0
1962,6,1411001,1,0,1411010,0,9,29,NA,NA,NA,9,NA,44029.078125,NA,5,29,12,11,43776,0,1,29,NA,0,0
1960,11,1411001,1,0,1411009,1,9,29,NA,NA,NA,9,NA,44029.078125,NA,7,29,12,11,43776,0,1,29,NA,0,0
1953,6,1411001,1,0,1411004,0,9,29,NA,NA,NA,9,0,44029.078125,NA,14,29,12,11,43776,0,1,29,NA,0,0
1955,12,1411001,0,1,1411006,0,9,29,NA,NA,NA,9,NA,44029.078125,NA,12,29,12,11,43776,0,1,29,NA,0,0
1963,8,1411001,1,0,1411011,1,9,29,NA,NA,NA,9,NA,44029.078125,NA,4,29,12,11,43776,0,1,29,NA,0,0
1958,1,1411001,1,0,1411007,0,9,29,NA,NA,NA,9,0,44029.078125,NA,10,29,12,11,43776,0,1,29,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,8,1411001,1,0,1411008,1,9,29,NA,NA,NA,9,0,44029.078125,NA,8,29,12,11,43776,0,1,29,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,12,1522001,0,1,1522008,0,11,34,NA,NA,NA,6,NA,118742.3984375,NA,11,34,16,12,102600,0,2,34,NA,0,0
1954,6,1522001,0,1,1522007,1,11,34,NA,NA,NA,6,NA,118742.3984375,NA,13,34,16,12,102600,0,2,34,NA,0,0
1948,6,1522001,0,1,1522003,1,11,34,NA,640,NA,6,NA,118742.3984375,NA,20,34,16,12,102600,0,2,34,NA,0,0
1963,10,1522001,0,1,1522011,0,11,34,NA,NA,NA,6,0,118742.3984375,NA,5,34,16,12,102600,0,2,34,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,10,1522001,0,1,1522005,1,11,34,NA,NA,NA,6,NA,118742.3984375,NA,18,34,16,12,102600,0,2,34,NA,0,0
1953,2,1522001,0,1,1522006,0,11,34,NA,NA,NA,6,NA,118742.3984375,NA,15,34,16,12,102600,0,2,34,NA,0,0
1960,9,1522001,0,1,1522010,0,11,34,NA,NA,NA,6,NA,118742.3984375,NA,7,34,16,12,102600,0,2,34,NA,0,0
1959,1,1522001,0,1,1522009,1,11,34,NA,NA,NA,6,NA,118742.3984375,NA,9,34,16,12,102600,0,2,34,NA,0,0
1965,11,1695001,0,1,1695012,1,8,13,NA,NA,NA,7,NA,104946.1171875,NA,3,13,7,7,0,0,2,13,NA,0,0
1953,5,1695001,0,1,1695007,0,10,13,NA,NA,NA,7,NA,104946.1171875,NA,15,13,7,7,0,0,2,13,NA,0,0
1951,10,1695001,0,1,1695006,0,11,13,NA,NA,NA,7,NA,104946.1171875,NA,16,13,7,7,0,0,2,13,NA,0,0
1962,2,1695001,0,1,1695011,0,8,13,NA,NA,NA,7,NA,104946.1171875,NA,6,13,7,7,0,0,2,13,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,2,1695001,0,1,1695009,1,8,13,NA,NA,NA,7,NA,104946.1171875,NA,11,13,7,7,0,0,2,13,NA,0,0
1947,10,1695001,0,1,1695003,1,10,13,NA,1320,8,7,NA,104946.1171875,NA,21,13,7,7,0,0,2,13,NA,0,0
1948,10,1695001,0,1,1695004,0,NA,13,NA,1760,11,7,NA,104946.1171875,NA,20,13,7,7,0,0,2,13,NA,0,0
1959,9,1695001,0,1,1695010,0,8,13,NA,NA,NA,7,NA,104946.1171875,NA,8,13,7,7,0,0,2,13,NA,0,0
1949,11,1695001,0,1,1695005,1,7,13,NA,2244,9,7,NA,104946.1171875,NA,18,13,7,7,0,0,2,13,NA,0,0
1962,5,1786001,0,1,1786009,1,9,14,NA,NA,NA,6,NA,34562.51953125,NA,5,14,12,12,32291.640625,0,2,14,NA,0,0
1960,7,1786001,0,1,1786008,0,9,14,NA,NA,NA,6,NA,34562.51953125,NA,7,14,12,12,32291.640625,0,2,14,NA,0,0
1963,9,1786001,0,1,1786010,0,9,14,NA,NA,NA,6,NA,34562.51953125,NA,4,14,12,12,32291.640625,0,2,14,NA,0,0
1949,6,1786001,0,1,1786021,1,9,14,NA,NA,12,6,NA,34562.51953125,NA,21,14,12,12,32291.640625,0,2,14,NA,0,0
1958,6,1786001,0,1,1786007,0,9,14,NA,NA,NA,6,NA,34562.51953125,NA,9,14,12,12,32291.640625,0,2,14,NA,0,0
1948,6,1786001,0,1,1786003,0,6,14,NA,NA,9,6,NA,34562.51953125,NA,19,14,12,12,32291.640625,0,2,14,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,3,1786001,0,1,1786005,1,9,14,NA,NA,NA,6,NA,34562.51953125,NA,15,14,12,12,32291.640625,0,2,14,NA,0,0
1947,5,1786001,0,1,1786004,1,12,14,NA,NA,9,6,NA,34562.51953125,NA,18,14,12,12,32291.640625,0,2,14,NA,0,0
1948,2,2302001,0,1,2302021,1,10,3,NA,NA,7,8,1,25479,NA,20,3,3,5,15732,0,3,3,NA,0,0
