"birthyear","birthmonth","f_id","black","white","id","male","h_sentscore1972","birthstate","inc_labor","hours","hhchildren","married","fam_inc","works","age","state","inc_afdc","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","head","wife"
1955,8,1335001,0,1,1335006,1,10,24,NA,NA,8,NA,48545.19921875,NA,13,24,NA,43223.3984375,649,0,0,0,2,24,NA,NA,0
1952,9,1335001,0,1,1335004,0,10,24,NA,NA,8,1,48545.19921875,NA,16,24,NA,43223.3984375,649,0,0,0,2,24,NA,NA,0
1950,10,1335001,0,1,1335003,1,10,24,NA,NA,8,0,48545.19921875,NA,18,24,NA,43223.3984375,649,0,0,0,2,24,NA,NA,0
1962,5,1335001,0,1,1335010,1,10,24,NA,NA,8,NA,48545.19921875,NA,6,24,NA,43223.3984375,649,0,0,0,2,24,NA,NA,0
1958,4,1335001,0,1,1335008,1,10,24,NA,NA,8,NA,48545.19921875,NA,11,24,NA,43223.3984375,649,0,0,0,2,24,NA,NA,0
1959,5,1335001,0,1,1335009,1,10,24,NA,NA,8,NA,48545.19921875,NA,9,24,NA,43223.3984375,649,0,0,0,2,24,NA,NA,0
1953,9,1335001,0,1,1335005,0,10,24,NA,NA,8,NA,48545.19921875,NA,14,24,NA,43223.3984375,649,0,0,0,2,24,NA,NA,0
1956,10,1335001,0,1,1335007,1,10,24,NA,NA,8,NA,48545.19921875,NA,12,24,NA,43223.3984375,649,0,0,0,2,24,NA,NA,0
1964,10,1335001,0,1,1335011,0,10,24,NA,NA,8,0,48545.19921875,NA,4,24,NA,43223.3984375,649,0,0,0,2,24,NA,NA,0
1967,10,1411001,1,0,1411013,1,9,29,NA,NA,11,NA,44086.5703125,NA,2,29,NA,35046,0,0,0,0,1,29,NA,NA,0
1966,5,1411001,1,0,1411012,1,9,29,NA,NA,11,NA,44086.5703125,NA,3,29,NA,35046,0,0,0,0,1,29,NA,NA,0
1954,8,1411001,1,0,1411005,1,9,29,NA,NA,11,NA,44086.5703125,NA,14,29,NA,35046,0,0,0,0,1,29,NA,NA,0
1962,6,1411001,1,0,1411010,0,9,29,NA,NA,11,NA,44086.5703125,NA,6,29,NA,35046,0,0,0,0,1,29,NA,NA,0
1960,11,1411001,1,0,1411009,1,9,29,NA,NA,11,NA,44086.5703125,NA,8,29,NA,35046,0,0,0,0,1,29,NA,NA,0
1953,6,1411001,1,0,1411004,0,9,29,NA,NA,11,0,44086.5703125,NA,15,29,NA,35046,0,0,0,0,1,29,NA,NA,0
1955,12,1411001,0,1,1411006,0,9,29,NA,NA,11,NA,44086.5703125,NA,13,29,NA,35046,0,0,0,0,1,29,NA,NA,0
1963,8,1411001,1,0,1411011,1,9,29,NA,NA,11,NA,44086.5703125,NA,5,29,NA,35046,0,0,0,0,1,29,NA,NA,0
1958,1,1411001,1,0,1411007,0,9,29,NA,NA,11,0,44086.5703125,NA,11,29,NA,35046,0,0,0,0,1,29,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,8,1411001,1,0,1411008,1,9,29,NA,NA,11,0,44086.5703125,NA,9,29,NA,35046,0,0,0,0,1,29,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,12,1522001,0,1,1522008,0,11,34,NA,NA,6,NA,129306.7578125,NA,12,34,NA,103840,0,0,0,0,2,34,NA,NA,0
1954,6,1522001,0,1,1522007,1,11,34,NA,NA,6,NA,129306.7578125,NA,14,34,NA,103840,0,0,0,0,2,34,NA,NA,0
1948,6,1522001,0,1,1522003,1,11,34,NA,NA,6,NA,129306.7578125,NA,21,34,NA,103840,0,0,0,0,2,34,NA,NA,0
1963,10,1522001,0,1,1522011,0,11,34,NA,NA,6,0,129306.7578125,NA,5,34,NA,103840,0,0,0,0,2,34,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,10,1522001,0,1,1522005,1,11,34,NA,640,6,NA,129306.7578125,NA,19,34,NA,103840,0,0,0,0,2,34,NA,NA,0
1953,2,1522001,0,1,1522006,0,11,34,NA,NA,6,NA,129306.7578125,NA,16,34,NA,103840,0,0,0,0,2,34,NA,NA,0
1960,9,1522001,0,1,1522010,0,11,34,NA,NA,6,NA,129306.7578125,NA,8,34,NA,103840,0,0,0,0,2,34,NA,NA,0
1959,1,1522001,0,1,1522009,1,11,34,NA,NA,6,NA,129306.7578125,NA,10,34,NA,103840,0,0,0,0,2,34,NA,NA,0
1965,11,1695001,0,1,1695012,1,8,13,NA,NA,7,NA,55554.3984375,NA,4,13,NA,6490,0,0,0,0,2,13,NA,NA,0
1953,5,1695001,0,1,1695007,0,10,13,NA,NA,7,NA,55554.3984375,NA,16,13,NA,6490,0,0,0,0,2,13,NA,NA,0
1951,10,1695001,0,1,1695006,0,11,13,NA,NA,7,NA,55554.3984375,NA,17,13,NA,6490,0,0,0,0,2,13,NA,NA,0
1962,2,1695001,0,1,1695011,0,8,13,NA,NA,7,NA,55554.3984375,NA,7,13,NA,6490,0,0,0,0,2,13,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,2,1695001,0,1,1695009,1,8,13,NA,NA,7,NA,55554.3984375,NA,12,13,NA,6490,0,0,0,0,2,13,NA,NA,0
1947,10,1695001,0,1,1695003,1,10,13,NA,2132,7,1,55554.3984375,NA,21,13,NA,6490,0,0,0,0,2,13,NA,NA,0
1948,10,1695001,0,1,1695004,0,NA,13,NA,NA,7,1,55554.3984375,NA,20,13,NA,6490,0,0,0,0,2,13,NA,NA,0
1959,9,1695001,0,1,1695010,0,8,13,NA,NA,7,NA,55554.3984375,NA,9,13,NA,6490,0,0,0,0,2,13,NA,NA,0
