"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","study","works","head","wife"
"607",1,1,0,12,4,5,1912,2558,56,49040,4586,1,1,50879,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,0,1,1,0
"652",0,0,0,12,10,2,1941,1200,28,11034,586,1,NA,72150.1015625,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,1
"665",1,0,1,12,NA,11,NA,4207,40,89516.390625,498,2,1,156315,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,0,1,1,0
"677",0,0,1,8,2,11,1934,1120,36,19616,3818,2,1,85207,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,1
"680",1,1,0,12,2,12,1916,2039,54,67430,3795,6,1,87659,1.10000002384186,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,39,NA,0,1,1,0
"811",1,1,0,6,NA,8,NA,4500,38,71721,588,3,1,71721,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,0,1,1,0
"813",1,0,1,7,5,8,1916,1800,52,36878.078125,4197,1,1,85335.7265625,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,NA,0,1,1,0
"817",1,0,1,12,1,10,1943,2400,28,47814,796,2,1,60993.5,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,NA,0,1,1,0
"839",1,0,1,12,3,10,1945,2095,25,28811,2648,1,1,33715,0.600000023841858,0,0,0,0,0,0,0,8,8,32881.3203125,13792.5,0,0,0,3,41,NA,0,1,1,0
"841",0,0,1,12,12,10,1941,0,28,0,1978,3,1,61606.5,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,1
"842",0,0,1,16,2,11,1944,988,26,23294,2088,0,1,86126.5,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,1
"859",1,0,1,13,10,9,1919,1985,54,55727.828125,1823,0,1,80554.328125,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,1,0
"892",1,0,1,12,7,9,1932,2322,37,52718,3646,1,1,70556.296875,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,NA,0,1,1,0
"894",0,0,1,17,4,9,1943,1760,27,28811,2474,1,1,48427,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,NA,NA,1
"917",1,0,1,6,NA,NA,NA,NA,45,NA,4470,1,NA,44834.8203125,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,39,NA,NA,NA,0,NA
"975",1,0,0,12,12,9,1938,2296,31,60074,1775,3,1,68043,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,1,0
"991",0,0,1,12,8,11,1924,1960,45,21957.66015625,839,1,1,98092.2578125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,1
"1050",0,NA,NA,12,NA,9,NA,0,25,0,1062,1,NA,55170,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,1
"1132",0,0,1,12,NA,8,NA,2000,42,50266,1280,0,0,53637.5,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,2,0,1,1,0
"1161",1,0,1,13,9,10,1930,2448,39,88885,2116,5,1,107275,0.899999976158142,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,1,1,0
"1211",0,0,1,17,11,7,1943,140,26,3065,3373,1,1,47507.5,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,1
"1212",0,0,1,12,11,9,1943,2080,26,7969,1775,3,1,68043,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,1
"1239",0,0,1,12,NA,NA,NA,NA,26,NA,3844,0,NA,47525.890625,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,12,8,27100.73046875,0,0,0,0,2,24,NA,NA,NA,NA,0
