"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"607",1,1,0,12,4,5,1912,NA,740,57,41160,4359,0,1,46569.6015625,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,4,21,0,1,1,0
"622",0,0,1,9,NA,8,NA,NA,1750,25,15729,4286,1,0,17845.80078125,0.5,0,0,0,0,0,1470,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,61,0,1,1,0
"648",1,0,1,NA,NA,10,NA,NA,NA,26,NA,2815,1,NA,37390.921875,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,0
"652",0,0,0,12,10,2,1941,NA,0,29,0,3481,1,NA,50568,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"665",1,0,1,12,NA,11,NA,NA,4602,40,114366,649,2,1,196980,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,61,0,1,1,0
"677",0,0,1,8,2,11,1934,NA,2040,36,23520,2016,1,1,87024,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"680",1,1,0,12,2,12,1916,NA,1915,54,64680,4321,6,1,89481.84375,1.10000002384186,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,39,NA,92,0,1,1,0
"811",1,1,0,6,NA,8,NA,NA,2500,41,87024,4523,3,1,87024,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,49,0,1,1,0
"813",1,0,1,7,5,8,1916,NA,1920,54,54789.83984375,2223,1,1,79497.6015625,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,NA,51,0,1,1,0
"817",1,0,1,12,1,10,1943,NA,2320,29,47040,1650,2,1,76440,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,NA,71,0,1,1,0
