"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"55",1,0,1,12,5,12,1947,2805,25,69418,3512,2,1,77953,1,0,0,0,0,0,0,0,12,12,17070,17070,0,0,0,2,14,NA,11,0,1,1,0
"607",1,1,0,12,4,5,1912,1124,58,48365,4707,0,1,69418,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,21,0,1,1,0
"622",0,0,1,9,NA,8,NA,2040,26,17070,3053,1,0,21166.80078125,0.5,0,0,0,0,0,4267.5,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,61,0,1,1,0
"648",1,0,1,NA,NA,10,NA,NA,29,NA,3527,1,NA,33599.44921875,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,0
"652",0,0,0,12,10,2,1941,0,30,0,3869,1,NA,48934,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"665",1,0,1,12,NA,11,NA,4940,42,99404.296875,637,0,0,182080,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,61,0,1,1,0
"677",0,0,1,8,2,11,1934,2000,38,22760,250,0,1,94454,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"680",1,1,0,12,2,12,1916,1960,56,79660,4431,6,1,128025,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,39,NA,92,0,1,1,0
"811",1,1,0,6,NA,8,NA,3000,44,71694,4872,3,1,72263,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,0,1,1,0
"813",1,0,1,7,5,8,1916,1520,55,28922.26953125,3826,0,1,64245.7890625,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,NA,51,0,1,1,0
"817",1,0,1,12,1,10,1943,2250,30,44382,4695,2,1,73970,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,NA,71,0,1,1,0
"839",1,0,1,12,3,10,1945,2500,26,39078.921875,104,1,1,56501.69921875,0.400000005960464,0,0,0,0,0,0,0,8,8,27260.7890625,19431.349609375,0,0,0,3,41,NA,42,0,1,1,0
"841",0,0,1,12,12,10,1941,0,30,0,3019,3,1,68587.2578125,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"842",0,0,1,16,2,11,1944,0,28,0,4701,2,1,84872.0390625,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,NA,1
"859",1,0,1,13,10,9,1919,2048,52,75591.6484375,1040,0,1,96161,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,92,0,1,1,0
"892",1,0,1,12,7,9,1932,2047,39,56348.0703125,4455,1,1,76826.3828125,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,1,62,0,1,1,0
"894",0,0,1,17,4,9,1943,432,29,8535,3792,1,1,88195,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,NA,NA,NA,1
"975",1,0,0,12,12,9,1938,2191,33,60314,2352,3,1,68166.203125,1,2048.39990234375,3340.03002929688,0,0,227,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,56,0,1,1,0
"991",0,0,1,12,8,11,1924,2205,47,24916.509765625,1160,0,1,140395.0625,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"1024",0,0,0,12,NA,10,NA,2000,26,NA,3285,0,NA,109492.671875,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,52348,13656,0,0,0,3,9,NA,NA,NA,NA,NA,0
"1050",0,NA,NA,12,NA,9,NA,0,28,0,2596,2,NA,85350,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,NA,1
"1132",0,0,1,12,NA,8,NA,2652,44,51779,4204,0,0,54624,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,86,0,1,1,0
"1161",1,0,1,13,9,10,1930,2500,41,113800,4721,3,1,142250,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,30,0,1,1,0
"1211",0,0,1,17,11,7,1943,720,29,18714.41015625,2794,2,1,65941.40625,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"1212",0,0,1,12,11,9,1943,2040,28,5803.7998046875,2352,3,1,68166.203125,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"1313",0,1,0,12,6,9,1924,1680,44,18777,2098,0,NA,66231.6015625,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"1328",1,0,1,16,8,12,1926,2304,45,68280,4752,2,1,97868,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,32,0,1,1,0
"1334",0,0,1,12,1,10,1942,1800,30,30157,587,0,1,71125,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"1358",0,0,1,12,5,10,1943,0,29,0,4060,2,1,48934,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
