"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"42",1,0,1,14,10,10,1947,NA,2104,26,35376,4546,1,1,35376,0.5,0,0,0,0,0,0,NA,NA,37520,0,0,0,0,2,13,NA,31,0,1,1,0
"52",0,0,1,10,6,6,1948,NA,0,25,0,2131,1,1,67000,0.699999988079071,NA,NA,NA,NA,NA,NA,12,12,23101.599609375,0,0,0,0,2,14,NA,NA,NA,NA,NA,1
"55",1,0,1,12,5,12,1947,NA,3556,28,36448,4385,2,1,36448,1,0,0,0,0,0,0,12,12,23101.599609375,0,0,0,0,2,14,NA,92,0,1,1,0
"56",1,0,1,6,2,10,1948,NA,2704,25,24312.9609375,1666,2,1,24956.16015625,1,0,0,0,0,0,0,NA,NA,12864,0,0,0,0,3,3,NA,11,0,1,1,0
"57",1,0,1,4,8,8,1946,NA,3750,27,26800,5227,2,1,29480,0.800000011920929,0,0,0,0,0,0,NA,NA,12864,0,0,0,0,3,23,NA,62,0,1,1,0
"607",1,1,0,12,4,5,1912,NA,1927,58,55744,3927,0,1,95595.6015625,0.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,51,0,1,1,0
"622",0,0,1,9,NA,8,NA,NA,1634,27,21440,4241,1,NA,105699.203125,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"637",1,0,1,17,12,12,1943,NA,600,29,16080,3443,0,1,83616,0.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,2,NA,NA,1,0,1,0
"652",0,0,0,12,10,2,1941,NA,0,31,0,2492,1,NA,65493.83984375,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"665",1,0,1,12,NA,11,NA,NA,2803,43,74509.359375,2753,0,1,155440,0.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,61,0,1,1,0
"677",0,0,1,8,2,11,1934,NA,2000,39,21440,1222,0,1,110416,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"680",1,1,0,12,2,12,1916,NA,1960,57,96480,4870,6,1,123280,1.10000002384186,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,92,0,1,1,0
"811",1,1,0,6,NA,8,NA,NA,2750,42,64320,4450,3,1,67268,0.800000011920929,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,44,0,1,1,0
"813",1,0,1,7,5,8,1916,NA,2000,57,32160,2043,0,1,96019.0390625,0.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,NA,51,0,1,1,0
"817",1,0,1,12,1,10,1943,NA,2500,31,46096,1773,2,1,78256,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,NA,71,0,1,1,0
"839",1,0,1,12,3,10,1945,NA,2223,27,40200,42,1,1,58675.921875,0.400000005960464,0,0,0,0,0,0,8,8,26210.400390625,20689.599609375,0,0,0,3,41,NA,42,0,1,1,0
"841",0,0,1,12,12,10,1941,NA,0,31,0,1158,3,1,92476.078125,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"842",0,0,1,16,2,11,1944,NA,0,29,0,1202,2,1,115776,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,NA,1
"859",1,0,1,13,10,9,1919,NA,1823,53,77720,618,0,1,97016,0.400000005960464,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,92,0,1,1,0
"892",1,0,1,12,7,9,1932,NA,2304,40,53868,1260,1,1,64588,0.600000023841858,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,1,33,0,1,1,0
"894",0,0,1,17,4,9,1943,NA,300,29,8040,49,1,1,83080,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,NA,1
"970",0,0,1,12,10,11,1948,NA,0,25,0,763,1,1,155440,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,17,NA,NA,NA,NA,NA,1
"975",1,0,0,12,12,9,1938,NA,2981,34,61640,4856,3,1,70001.6015625,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,56,0,1,1,0
"991",0,0,1,12,8,11,1924,NA,2250,48,31088,148,0,1,102644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"1024",0,0,0,12,NA,10,NA,NA,NA,26,NA,4556,0,NA,106385.28125,0.5,NA,NA,NA,NA,NA,NA,NA,NA,45560,17152,0,0,0,3,9,NA,NA,NA,NA,NA,0
"1050",0,NA,NA,12,NA,9,NA,NA,0,28,0,5060,2,NA,42880,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,NA,1
"1132",0,0,1,12,NA,8,NA,NA,2352,45,77586,2438,0,0,77586,0.300000011920929,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,86,0,1,1,0
"1161",1,0,1,13,9,10,1930,NA,2510,42,107200,2206,2,1,177952,0.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,30,0,1,1,0
"1211",0,0,1,17,11,7,1943,NA,32,29,921.919982910156,855,2,1,49161.921875,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"1212",0,0,1,12,11,9,1943,NA,2040,29,8361.599609375,4856,3,1,70001.6015625,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"1313",0,1,0,12,6,9,1924,NA,2000,46,18224,4704,0,NA,62390.3984375,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"1328",1,0,1,16,8,12,1926,NA,2350,46,69680,2204,2,1,98356,0.699999988079071,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,32,0,1,1,0
"1334",0,0,1,12,1,10,1942,NA,2040,31,31088,1012,0,1,68608,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"1358",0,0,1,12,5,10,1943,NA,0,30,0,3843,2,1,48240,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"1374",0,0,1,12,2,10,1926,NA,1520,47,12864,940,2,NA,46096,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,NA,NA,NA,NA,1
"1431",1,0,1,16,3,11,1927,NA,1927,46,118134.3984375,3041,0,1,157262.40625,0.400000005960464,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,NA,NA,0,1,1,0
"1489",1,0,1,8,NA,0,NA,NA,1960,44,31624,4257,0,0,44488,0.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,3,32,0,1,1,0
"1490",0,0,1,11,10,11,1941,NA,2200,31,28944,1411,2,1,110523.203125,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,NA,NA,NA,NA,NA,1
"1495",0,0,1,12,3,11,1944,NA,1760,29,21440,2526,2,0,34840,0.600000023841858,0,0,0,0,13400,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,71,0,1,1,0
"1519",1,0,1,16,1,11,1917,NA,2520,56,134000,4800,0,1,213703.203125,0.300000011920929,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,44,0,1,1,0
"1532",0,0,1,12,8,11,1929,NA,672,43,12328,1960,0,1,92728,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,NA,1
"1583",0,0,1,12,4,10,1947,NA,0,26,0,1465,3,NA,29078,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"1584",0,0,1,16,9,11,1943,NA,0,29,0,1581,1,1,56440.80078125,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,1
"1604",1,0,1,12,3,11,1913,NA,1936,60,85760,4593,0,1,104155.5234375,0.400000005960464,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,92,0,1,1,0
"1608",0,0,1,16,7,9,1936,NA,0,36,0,394,4,1,171520,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,NA,1
"1662",0,0,1,16,9,11,1938,NA,540,34,6432,310,2,1,100232,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"1680",0,0,1,12,10,13,1924,NA,0,49,0,1044,0,1,91312.9609375,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,29,NA,NA,NA,NA,NA,1
"1700",1,0,1,12,7,9,1916,NA,2000,56,58960,5108,0,1,59110.078125,0.699999988079071,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,61,0,1,1,0
"1772",1,0,1,8,2,10,1928,NA,2180,45,47168,2330,1,1,50384,0.699999988079071,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,34,0,1,1,0
"1776",1,0,1,12,1,10,1938,NA,2432,42,80400,4482,3,1,102108,0.600000023841858,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,55,0,1,1,0
"1778",0,0,1,12,8,10,1920,NA,0,52,0,4851,1,1,75040,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"1787",1,0,1,12,3,13,1921,NA,3120,52,61961.6015625,1148,1,1,107200,0.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,0,1,1,0
"1815",0,0,1,9,10,11,1915,NA,1926,57,50384,3592,0,0,50518,0.200000002980232,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,92,0,1,1,0
"1822",0,0,1,12,8,12,1923,NA,0,49,0,2270,0,1,113900,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"1834",1,0,1,12,8,9,1929,NA,2100,43,45881.6015625,3620,2,1,45881.6015625,0.699999988079071,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,26,NA,11,0,1,1,0
