"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"24",1,0,1,NA,NA,11,NA,641,28,NA,1076,3,NA,134155.84375,NA,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,16,110500,NA,NA,0,0,2,34,NA,NA,NA,NA,NA,0
"27",1,0,1,17,6,11,1948,2327,26,83980,1736,0,1,109138.640625,8,0.5,0,0,0,0,0,0,0,12,16,110500,0,0,0,0,2,21,NA,88,0,1,1,0
"42",1,0,1,14,10,10,1947,2376,28,34034,4779,0,0,34034,9,0.200000002980232,0,0,0,0,0,0,0,8,9,38012,0,0,0,0,2,13,NA,33,0,1,1,0
"45",1,0,1,12,11,7,1949,2200,26,39780,3848,2,1,40522.55859375,8,0.800000011920929,397.799987792969,397.799987792969,0,0,0,0,0,8,9,38012,0,0,0,0,2,13,NA,NA,0,0,1,0
"50",1,0,1,11,6,9,1949,1732,25,23868,4503,0,1,47559.19921875,6,0.400000005960464,2475.19995117188,2475.19995117188,0,0,0,0,0,12,12,10873.2001953125,0,0,0,0,2,14,NA,11,0,1,1,0
"52",0,0,1,10,6,6,1948,0,27,0,1902,1,1,44200,2,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,12,12,10873.2001953125,0,0,0,0,2,14,NA,NA,NA,NA,NA,1
"55",1,0,1,12,5,12,1947,4117,28,28906.80078125,4504,2,1,35094.80078125,10,1,2652,2652,0,0,0,0,0,12,12,10873.2001953125,0,0,0,0,2,14,NA,51,0,1,1,0
"56",1,0,1,6,2,10,1948,2660,27,24089,2210,2,1,24221.599609375,8,1,0,349.179992675781,0,0,79,0,0,2,NA,7514,0,0,0,0,3,3,NA,11,0,1,1,0
"57",1,0,1,4,8,8,1946,2080,28,7956,2209,2,1,14055.599609375,9,1,0,4826.64013671875,0,0,312,0,780,2,NA,7514,0,0,0,0,3,3,NA,11,0,1,1,0
"67",1,1,0,NA,NA,8,NA,1040,26,NA,546,4,NA,37923.6015625,NA,1.10000002384186,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,0,0,NA,0,3,10,NA,NA,NA,NA,NA,0
"622",0,0,1,9,NA,8,NA,0,29,0,2275,1,NA,68885.703125,7,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"637",1,0,1,17,12,12,1943,512,31,20332,389,0,1,57902,13,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,92,0,1,1,0
