"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","occ","study","works","head","wife"
"4",1,0,1,4,10,10,1950,1530,26,NA,606,4,0,66796.3984375,NA,NA,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,11,10,45980,0,0,0,0,2,24,NA,NA,NA,NA,0
"27",1,0,1,17,6,11,1948,1900,27,79420,4959,0,1,143792,9,1,0.200000002980232,0,0,0,0,0,0,0,12,16,108680,0,0,0,0,2,21,92,0,1,1,0
"30",1,0,1,17,10,11,1951,0,25,0,1262,0,1,59326.73828125,2,2,0.5,0,0,0,0,0,0,0,12,16,108680,0,0,0,0,2,21,NA,1,0,1,0
"38",0,0,1,12,10,11,1951,160,25,1337.59997558594,1351,1,1,63536,6,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,8,9,30932,11286,0,0,0,2,13,NA,0,0,NA,1
"42",1,0,1,14,10,10,1947,1720,29,30932,3181,0,0,32436.80078125,10,3,0.200000002980232,1504.80004882812,1705.43994140625,0,0,48,0,0,8,9,30932,11286,0,0,0,2,13,34,0,1,1,0
"45",1,0,1,12,11,7,1949,5096,27,37620,5834,2,1,37620,9,2,0.5,0,0,0,0,0,0,0,8,9,30932,11286,0,0,0,2,13,85,0,1,1,0
"50",1,0,1,11,6,9,1949,2371,27,20189.400390625,3127,1,1,23951.400390625,NA,3,0.699999988079071,0,0,0,0,0,0,0,12,12,12540,0,0,0,0,2,14,11,0,1,1,0
"52",0,0,1,10,6,6,1948,325,28,1254,3402,1,NA,63954,3,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,12,12,12540,0,0,0,0,2,14,NA,0,0,NA,1
"55",1,0,1,12,5,12,1947,1935,29,16720,5136,2,1,20064,12,3,0.600000023841858,0,1354.31994628906,0,0,324,0,0,12,12,12540,0,0,0,0,2,14,51,0,1,1,0
"56",1,0,1,6,2,10,1948,2918,28,27170,3190,2,1,28424,10,3,1,0,0,0,0,0,0,0,2,NA,0,0,0,0,0,3,3,11,0,1,1,0
"57",1,0,1,4,8,8,1946,1610,30,11724.900390625,5707,2,1,17974,12,NA,0.800000011920929,0,3569.71997070312,0,0,854,0,0,2,NA,0,0,0,0,0,3,3,81,0,1,1,0
"622",0,0,1,9,NA,8,NA,0,30,0,4386,3,NA,77873.3984375,7,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,0,0,NA,1
"637",1,0,1,17,12,12,1943,1800,32,68794.4375,2036,0,1,79169.203125,14,1,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,92,0,1,1,0
"652",0,0,0,12,10,2,1941,0,34,0,1331,2,NA,23512.5,15,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,0,0,NA,1
"665",1,0,1,12,NA,11,NA,3430,46,32248.69921875,3728,0,1,85690,26,NA,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,61,0,1,1,0
"677",0,0,1,8,2,11,1934,1040,42,9614,2361,0,0,14630,26,5,0.200000002980232,5016,5016,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,0,1,0
"680",1,1,0,12,2,12,1916,1800,60,100320,3468,5,1,138943.203125,42,3,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,92,0,1,1,0
"691",0,NA,NA,12,NA,9,NA,0,25,0,1810,2,NA,68970,3,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,0,0,NA,1
"762",1,0,1,10,1,9,1951,2130,25,58520,980,1,1,66880,7,NA,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,55,0,1,1,0
"768",1,0,1,12,NA,9,NA,2296,27,24160.400390625,653,0,1,45060.3984375,9,NA,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,33,0,1,1,0
"805",1,1,0,12,12,8,1949,2701,26,88198,3757,1,1,90267.1015625,8,3,0.400000005960464,0,0,0,0,0,0,0,12,6,79420,20235.380859375,0,0,0,2,34,30,0,1,1,0
"811",1,1,0,6,NA,8,NA,4000,45,71060,5190,1,1,93005,27,NA,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,44,0,1,1,0
"813",1,0,1,7,5,8,1916,1624,60,20114.16015625,3228,0,1,39960.80078125,41,4,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,51,0,1,1,0
"817",1,0,1,12,1,10,1943,2316,34,45980,1318,0,0,45980,12,2,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,71,0,1,1,0
"839",1,0,1,12,3,10,1945,2178,31,34276,872,1,0,34547.69921875,12,2,0.300000011920929,0,0,0,0,0,0,0,8,8,34276,0,0,0,0,3,41,42,0,1,1,0
"841",0,0,1,12,12,10,1941,120,34,1672,986,3,1,88281.6015625,4,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,0,NA,1
"842",0,0,1,16,2,11,1944,0,32,0,5401,3,1,214016,5,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,0,0,NA,1
"859",1,0,1,13,10,9,1919,1995,56,77530.640625,5009,0,1,93723.9609375,37,2,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,92,0,1,1,0
"892",1,0,1,12,7,9,1932,2338,43,75240,1062,1,1,88595.1015625,25,3,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,33,0,1,1,0
"894",0,0,1,17,4,9,1943,288,33,9196,3861,2,1,72314,15,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,0,1,NA,1
"970",0,0,1,12,10,11,1948,288,28,7574.16015625,4992,1,1,4.17999982833862,8,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,17,NA,0,1,NA,1
"975",1,0,0,12,12,9,1938,2280,37,66880,4127,3,1,82764,19,2,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,56,0,1,1,0
"991",0,0,1,12,8,11,1924,2640,52,25080,3399,0,1,94677,17,NA,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,0,0,NA,1
"1036",0,1,0,13,7,10,1947,2000,28,NA,3193,1,1,38234.4609375,NA,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,0
"1050",0,NA,NA,12,NA,9,NA,1200,30,10450,549,2,NA,43890,1,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,0,1,NA,1
