"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"3",0,0,1,11,9,10,1952,0,25,0,3164,3,1,53472.5,3,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,NA,11,10,32850,0,0,0,0,2,24,NA,NA,NA,NA,NA,1
"4",1,0,1,4,10,10,1950,1530,27,NA,1890,3,0,85410,NA,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,NA,11,10,32850,0,0,0,0,2,24,NA,NA,NA,NA,NA,0
"27",1,0,1,17,6,11,1948,2361,30,90702.5,4872,0,1,164432.5,9,0.300000011920929,0,0,0,0,0,0,0,0,12,16,109500,0,0,0,0,2,21,NA,92,0,1,1,0
"30",1,0,1,17,10,11,1951,79,27,365,266,0,1,56575,2,0.300000011920929,0,0,0,0,0,0,0,0,12,16,109500,0,0,0,0,2,34,NA,88,0,1,1,0
"31",0,0,1,16,2,11,1953,2087,25,34401.25,3763,0,0,35054.6015625,7,0.200000002980232,0,0,0,0,0,0,0,0,12,16,109500,0,0,0,0,2,34,NA,56,0,1,1,0
"37",0,0,1,12,5,10,1953,0,25,0,791,1,NA,43070,4,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,8,9,38325,0,0,0,0,2,13,NA,NA,NA,NA,NA,1
"38",0,0,1,12,10,11,1951,1210,27,18250,3999,1,1,77745,6,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,8,9,38325,0,0,0,0,2,13,NA,NA,NA,NA,NA,1
"42",1,0,1,14,10,10,1947,2340,30,43800,800,0,0,43800,10,0.200000002980232,0,0,0,0,0,0,0,0,8,9,38325,0,0,0,0,2,13,NA,32,0,1,1,0
"45",1,0,1,12,11,7,1949,3999,28,48362.5,3448,2,1,48362.5,9,0.800000011920929,0,0,0,0,0,0,0,0,8,9,38325,0,0,0,0,3,9,NA,55,0,1,1,0
"50",1,0,1,11,6,9,1949,1430,28,14600,4883,3,1,21535,NA,0.800000011920929,0,0,0,0,0,0,0,0,12,12,23725,0,0,0,0,2,14,NA,11,0,1,1,0
"52",0,0,1,10,6,6,1948,2032,30,6570,2483,2,0,20498.400390625,3,0.5,0,0,16556.400390625,0,0,720,0,3816,12,12,23725,0,0,0,0,2,14,NA,61,0,1,1,0
"54",1,0,1,12,3,9,1953,2080,25,14600,5821,1,1,16790,NA,0.5,0,0,0,0,0,0,0,0,12,12,23725,0,0,0,0,2,14,NA,51,0,1,1,0
"55",1,0,1,12,5,12,1947,1960,29,16425,5282,0,0,19710,12,0.5,0,3285,3285,0,0,0,0,0,12,12,23725,0,0,0,0,2,14,NA,51,0,1,1,0
"56",1,0,1,6,2,10,1948,2694,30,29419,6137,2,1,29419,10,1,0,0,0,0,0,0,0,0,2,NA,912.5,0,0,0,0,3,3,NA,11,0,1,1,0
"62",1,0,1,12,5,11,1951,2530,26,24049.849609375,6138,2,1,25758.05078125,6,1,0,1708.19995117188,3022.19995117188,0,0,360,0,0,2,NA,912.5,0,0,0,0,3,3,NA,11,0,1,1,0
"72",0,1,0,12,4,8,1952,2120,25,34675,2628,1,0,34675,4,0.5,0,0,0,0,0,0,0,0,12,8,31025,0,0,0,0,3,10,NA,61,0,1,1,0
"75",1,1,0,12,2,8,1953,NA,26,NA,2338,3,NA,46019.19921875,NA,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,NA,12,8,31025,0,0,0,0,3,10,NA,NA,NA,NA,NA,0
"622",0,0,1,9,NA,8,NA,0,32,0,955,2,NA,72251.75,7,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"637",1,0,1,17,12,12,1943,2000,34,80300,1150,1,1,95265,14,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,92,0,1,1,0
"652",0,0,0,12,10,2,1941,0,36,0,5537,2,NA,27696.19921875,15,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"674",0,0,1,17,8,10,1951,0,26,0,2398,0,1,36500,2,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,NA,NA,NA,NA,NA,1
"677",0,0,1,8,2,11,1934,0,44,0,768,0,0,17454.30078125,26,0.200000002980232,0,0,9548.400390625,9548.400390625,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,2,NA,0,0,1,0
"691",0,NA,NA,12,NA,9,NA,0,26,0,3576,2,NA,69350,3,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"762",1,0,1,10,1,9,1951,1800,27,58765,3564,1,1,60590,7,0.800000011920929,1825,0,1825,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,55,0,1,1,0
"768",1,0,1,12,NA,9,NA,1000,29,NA,1654,1,NA,29747.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,0,0
"790",1,0,1,12,2,11,1952,2075,26,54750,3979,0,1,91250,6,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,0,1,1,0
"796",1,0,1,12,5,12,1952,2650,25,27083,3490,0,0,29820.5,6,0.300000011920929,0,0,0,0,0,0,0,0,12,12,60192.1484375,0,0,0,0,2,48,3,85,0,1,1,0
"805",1,1,0,12,12,8,1949,2276,28,68985,2601,2,1,68985,8,0.699999988079071,0,0,0,0,0,0,0,0,12,6,80300,13578,0,0,0,2,34,NA,30,0,1,1,0
"811",1,1,0,6,NA,8,NA,4000,47,82125,5535,0,1,116873,27,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,44,0,1,1,0
"817",1,0,1,12,1,10,1943,1347,36,32850,3454,0,0,37230,12,0.200000002980232,0,4380,4380,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,NA,71,0,1,1,0
"839",1,0,1,12,3,10,1945,2040,33,37412.5,6047,1,0,37412.5,12,0.300000011920929,0,0,0,0,0,0,0,0,8,8,24820,10950,0,0,0,3,41,NA,42,0,1,1,0
"841",0,0,1,12,12,10,1941,0,35,0,782,3,1,92710,4,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"842",0,0,1,16,2,11,1944,0,34,0,557,3,1,331785,5,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,NA,1
"859",1,0,1,13,10,9,1919,2004,58,75190,4162,0,1,91615,37,0.400000005960464,0,0,1460,1460,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,92,0,1,1,0
"892",1,0,1,12,7,9,1932,2362,46,77416.5,4660,0,1,93476.5,25,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,NA,31,0,1,1,0
"894",0,0,1,17,4,9,1943,72,35,8030,5322,2,1,69350,15,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,NA,1
"970",0,0,1,12,10,11,1948,320,29,2190,3901,1,1,129940,8,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,17,NA,NA,NA,NA,NA,1
"975",1,0,0,12,12,9,1938,2556,39,93075,2106,3,1,110996.5,19,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,56,0,1,1,0
"991",0,0,1,12,8,11,1924,2000,53,28470,992,0,1,98550,17,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
