"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","occ","study","works","head","wife"
"3",0,0,1,11,9,10,1952,1214,27,10404,5395,3,1,38148,3,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,NA,11,10,43350,0,0,0,0,2,24,NA,0,1,NA,1
"4",1,0,1,4,10,10,1950,1500,29,NA,5400,2,0,73533.15625,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,11,10,43350,0,0,0,0,2,24,NA,0,1,NA,0
"8",0,0,1,13,9,10,1953,180,26,1734,2331,3,1,65545.203125,5,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,NA,11,10,43350,0,0,0,0,3,9,NA,0,0,NA,1
"15",1,1,0,14,8,9,1954,2156,25,34680,1361,0,1,59245,5,0.699999988079071,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,1,29,92,0,1,1,0
"18",0,1,0,16,6,9,1953,1892,26,34680,3183,0,0,34680,7,0.300000011920929,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,1,29,92,0,1,1,0
"26",1,0,1,14,6,11,1954,2390,25,65603,120,1,1,74273,4,0.5,0,0,0,0,0,0,0,0,NA,16,104040,NA,NA,0,0,2,34,92,0,1,1,0
"27",1,0,1,17,6,11,1948,2358,31,166059.40625,2018,0,1,234985.90625,9,0.300000011920929,0,0,0,0,0,0,0,0,NA,16,104040,NA,NA,0,0,2,21,92,0,1,1,0
"30",1,0,1,17,10,11,1951,2250,29,59245,121,0,1,111499.09375,2,0.300000011920929,0,0,0,0,0,0,0,0,NA,16,104040,NA,NA,0,0,2,34,88,0,1,1,0
"31",0,0,1,16,2,11,1953,1951,27,39382.03125,434,0,0,40066.9609375,7,0.200000002980232,0,0,0,0,0,0,0,0,NA,16,104040,NA,NA,0,0,2,34,56,0,1,1,0
"37",0,0,1,12,5,10,1953,0,27,0,4192,4,NA,29304.599609375,4,1,NA,NA,NA,NA,NA,NA,NA,NA,8,9,47685,0,0,0,0,2,13,NA,0,0,NA,1
"38",0,0,1,12,10,11,1951,1080,28,11560,1231,1,1,65025,6,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,8,9,47685,0,0,0,0,2,13,NA,0,1,NA,1
"40",1,0,1,11,NA,8,NA,2310,25,33235,1260,0,0,33235,3,0.300000011920929,0,0,0,0,0,0,0,0,8,9,47685,0,0,0,0,2,13,32,0,1,1,0
"42",1,0,1,14,10,10,1947,2016,32,37570,4186,2,1,57800,10,0.699999988079071,0,0,0,0,0,0,0,0,8,9,47685,0,0,0,0,2,13,32,0,1,1,0
"45",1,0,1,12,11,7,1949,2550,30,58956,482,2,1,58956,9,0.600000023841858,0,0,0,0,0,0,0,0,8,9,47685,0,0,0,0,2,13,61,0,1,1,0
"50",1,0,1,11,6,9,1949,2528,30,24206.640625,2642,2,1,32654.109375,NA,0.600000023841858,0,0,0,0,0,0,0,0,12,12,28900,1445,0,0,0,2,14,92,0,1,1,0
"52",0,0,1,10,6,6,1948,1560,31,10519.599609375,2204,2,0,23004.400390625,3,0.400000005960464,0,0,15085.7998046875,0,0,900,0,4320,12,12,28900,1445,0,0,0,2,14,61,0,1,1,0
"54",1,0,1,12,3,9,1953,1520,27,22903.25,2641,1,1,37289.671875,NA,0.400000005960464,0,4369.68017578125,4369.68017578125,0,0,0,0,0,12,12,28900,1445,0,0,0,2,14,51,0,1,1,0
"55",1,0,1,12,5,12,1947,2500,33,23120,6192,0,1,23120,12,0.300000011920929,0,0,0,0,0,0,0,0,12,12,28900,1445,0,0,0,2,14,55,0,1,1,0
"56",1,0,1,6,2,10,1948,2683,32,27166,625,3,1,27166,10,1.29999995231628,0,0,1098.19995117188,0,0,380,0,0,2,NA,8381,0,0,0,0,3,3,11,0,1,1,0
