"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"2",1,0,1,12,8,10,1955,2000,25,45850,3258,2,1,45850,2,0.5,0,0,0,0,0,0,0,0,11,10,41920,0,0,0,0,2,24,0,1,1,0
"3",0,0,1,11,9,10,1952,1200,28,14132.2802734375,5245,3,1,83840,3,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,NA,11,10,41920,0,0,0,0,2,24,0,1,NA,1
"4",1,0,1,4,10,10,1950,1560,30,NA,2208,2,0,45850,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,11,10,41920,0,0,0,0,2,24,0,1,NA,0
"8",0,0,1,13,9,10,1953,571,27,14410,4844,3,1,100346,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10,41920,0,0,0,0,3,9,0,1,NA,1
"15",1,1,0,14,8,9,1954,2040,26,47684,6146,0,1,73360,5,0.699999988079071,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,1,29,0,1,1,0
"18",0,1,0,16,6,9,1953,2070,27,44540,6452,0,0,44540,7,NA,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,1,29,0,1,1,0
"19",0,0,1,15,12,9,1955,1708,25,23580,6320,1,0,23789.599609375,5,NA,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,1,29,0,1,1,0
"26",1,0,1,14,6,11,1954,2552,26,71264,271,2,1,79124,4,0.699999988079071,0,0,0,0,0,0,0,0,NA,16,111874,NA,NA,0,0,2,34,0,1,1,0
"27",1,0,1,17,6,11,1948,2160,32,109516,540,0,1,203207.203125,9,0.300000011920929,0,0,0,0,0,0,0,0,NA,16,111874,NA,NA,0,0,2,21,0,1,1,0
"30",1,0,1,17,10,11,1951,2520,30,61570,743,0,1,119210,2,0.300000011920929,0,0,0,0,0,0,0,0,NA,16,111874,NA,NA,0,0,2,34,0,1,1,0
"31",0,0,1,16,2,11,1953,2026,28,41920,183,0,0,42438.76171875,7,0.200000002980232,0,0,0,0,0,0,0,0,NA,16,111874,NA,NA,0,0,2,34,0,1,1,0
