"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"2",1,0,1,12,8,10,1955,24,1984,26,51870,5604,2,1,51870,2,0.699999988079071,0,0,0,0,0,0,0,0,11,10,28652,0,0,0,0,2,24,0,1,1,0
"3",0,0,1,11,9,10,1952,24,1200,29,7345.77978515625,4802,3,1,41990,3,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,11,10,28652,0,0,0,0,2,24,0,1,NA,1
"4",1,0,1,4,10,10,1950,NA,1500,31,NA,5588,2,0,31122,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,11,10,28652,0,0,0,0,2,24,0,1,NA,0
"8",0,0,1,13,9,10,1953,24,1036,28,17290,5689,3,1,79287,5,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,11,10,28652,0,0,0,0,3,9,0,1,NA,1
"9",1,0,1,12,10,10,1956,24,1380,25,37050,2493,3,1,37050,1,1.29999995231628,0,0,0,0,0,0,0,0,11,10,28652,0,0,0,0,2,24,0,1,1,0
"15",1,1,0,14,8,9,1954,29,1957,27,61750,4745,0,0,81922.4921875,5,1,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,1,29,0,1,1,0
"18",0,1,0,16,6,9,1953,29,1778,28,60515,5441,0,0,60515,7,0.200000002980232,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,1,29,0,1,1,0
"19",0,0,1,15,12,9,1955,29,1694,26,29798.080078125,4746,1,0,29798.080078125,5,0.400000005960464,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,1,29,0,1,1,0
"25",0,0,1,16,12,11,1956,34,2205,25,35444.5,499,0,0,35481.55078125,6,0.300000011920929,0,0,0,0,0,0,0,0,NA,16,98800,NA,NA,0,0,2,34,0,1,1,0
"26",1,0,1,14,6,11,1954,34,3413,27,81510,498,2,1,106210,4,0.800000011920929,0,0,0,0,0,0,0,0,NA,16,98800,NA,NA,0,0,2,34,0,1,1,0
"27",1,0,1,17,6,11,1948,NA,1962,34,116509.8984375,1235,0,1,203130.328125,9,NA,0,0,0,0,0,0,0,0,NA,16,98800,NA,NA,0,0,2,21,0,1,1,0
"30",1,0,1,17,10,11,1951,34,2205,31,76570,158,0,1,136467.5,2,0.300000011920929,0,0,0,0,0,0,0,0,NA,16,98800,NA,NA,0,0,2,34,0,1,1,0
"31",0,0,1,16,2,11,1953,34,2003,29,47671,1874,0,0,47737.69140625,7,0.200000002980232,0,0,0,0,0,0,0,0,NA,16,98800,NA,NA,0,0,2,34,0,1,1,0
"37",0,0,1,12,5,10,1953,13,416,28,2420.60009765625,2086,2,NA,44904.6015625,4,1,NA,NA,NA,NA,NA,NA,NA,NA,8,9,51870,0,0,0,0,2,13,0,0,NA,1
"38",0,0,1,12,10,11,1951,13,200,30,494,2880,1,1,51178.3984375,6,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,8,9,51870,0,0,0,0,2,13,0,1,NA,1
"41",1,0,1,9,2,8,1957,13,2168,25,40977.30078125,2089,0,0,42978,2,0.200000002980232,271.700012207031,0,271.700012207031,0,0,0,0,0,8,9,51870,0,0,0,0,2,13,0,1,1,0
"42",1,0,1,14,10,10,1947,NA,2352,34,44460,3064,3,1,59280,10,0.800000011920929,0,0,0,0,0,0,0,0,8,9,51870,0,0,0,0,2,13,0,1,1,0
"45",1,0,1,12,11,7,1949,NA,2339,32,69160,4532,2,1,69777.5,9,0.5,0,0,0,0,0,0,0,0,8,9,51870,0,0,0,0,4,43,0,1,1,0
"50",1,0,1,11,6,9,1949,NA,1814,32,27170,3591,3,1,31369,NA,0.800000011920929,0,0,0,0,0,0,0,0,12,12,14820,11856,0,0,0,2,14,0,1,1,0
"52",0,0,1,10,6,6,1948,NA,1733,33,24700,2852,2,0,48085.9609375,3,0.5,0,0,23385.9609375,23385.9609375,0,0,0,0,12,12,14820,11856,0,0,0,2,14,0,1,1,0
"54",1,0,1,12,3,9,1953,14,1612,29,19760,3953,0,0,36879.5703125,NA,NA,0,2786.15991210938,2786.15991210938,0,0,0,0,0,12,12,14820,11856,0,0,0,2,14,0,1,1,0
