"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"2",1,0,1,12,8,10,1955,24,1970,28,54960,4779,2,1,54960,2,2,0.600000023841858,0,0,0,0,0,0,0,0,11,10,24365.599609375,0,0,0,0,2,24,0,1,1,0
"3",0,0,1,11,9,10,1952,24,1020,31,9755.400390625,4970,3,1,68700,3,2,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,11,10,24365.599609375,0,0,0,0,2,24,0,1,NA,1
"4",1,0,1,4,10,10,1950,NA,1200,33,NA,5287,1,0,26174.69921875,NA,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,11,10,24365.599609375,0,0,0,0,2,24,0,1,NA,0
"6",1,0,1,12,4,10,1958,24,2090,25,32721.810546875,2242,1,1,32721.810546875,3,2,0.600000023841858,0,0,0,0,0,0,0,0,11,10,24365.599609375,0,0,0,0,2,24,0,1,1,0
"8",0,0,1,13,9,10,1953,24,1872,30,17175,3524,3,1,90455,5,2,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,11,10,24365.599609375,0,0,0,0,3,9,0,1,NA,1
"9",1,0,1,12,10,10,1956,24,2080,27,43510,3526,3,1,43510,1,1,1.29999995231628,0,0,0,0,0,0,0,0,11,10,24365.599609375,0,0,0,0,2,24,0,1,1,0
"15",1,1,0,14,8,9,1954,29,2300,29,75570,3530,0,0,75570,5,2,1,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,1,29,0,1,1,0
"18",0,1,0,16,6,9,1953,29,2040,30,52670,5860,2,0,93890,7,2,0.699999988079071,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,1,37,0,1,1,0
"19",0,0,1,15,12,9,1955,29,1750,28,31144,5859,2,0,31144,5,1,0.600000023841858,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,1,29,0,1,1,0
"21",0,1,0,12,1,9,1958,29,1630,26,24315.220703125,5674,2,0,24361.01953125,1,2,0.600000023841858,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,1,29,0,1,1,0
"25",0,0,1,16,12,11,1956,34,1720,27,45800,3701,1,1,129041.5,8,1,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,123660,NA,NA,0,0,2,34,0,1,NA,1
"26",1,0,1,14,6,11,1954,34,2672,29,73280,3702,2,1,94119,4,1,0.800000011920929,0,0,0,0,0,0,0,0,NA,16,123660,NA,NA,0,0,2,34,0,1,1,0
"27",1,0,1,17,6,11,1948,NA,2130,35,132838.3125,3700,0,1,190608.15625,9,1,0.300000011920929,0,0,0,0,0,0,0,0,NA,16,123660,NA,NA,0,0,2,21,0,1,1,0
"30",1,0,1,17,10,11,1951,34,2490,33,80150,4462,1,1,138087,2,1,0.400000005960464,0,0,0,0,0,0,0,0,NA,16,123660,NA,NA,0,0,2,34,0,1,1,0
"31",0,0,1,16,2,11,1953,34,2073,31,52212,4717,0,0,52463.8984375,7,1,0.200000002980232,0,0,0,0,0,0,0,0,NA,16,123660,NA,NA,0,0,2,34,0,1,1,0
"33",1,0,1,17,1,11,1959,34,262,25,4580,3703,1,1,14198,3,2,0.600000023841858,0,0,0,0,0,0,0,0,NA,16,123660,NA,NA,0,0,2,12,1,0,1,0
"37",0,0,1,12,5,10,1953,13,352,30,7328,678,3,NA,27315.119140625,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,8,9,0,0,0,0,0,2,13,0,1,NA,1
"38",0,0,1,12,10,11,1951,13,1208,32,5267,487,1,0,72249.5,10,2,0.300000011920929,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,2,13,0,1,1,0
"41",1,0,1,9,2,8,1957,13,1232,27,33205,3223,1,1,62333.80078125,2,4,1,6870,0,6870,0,0,0,0,0,8,9,0,0,0,0,0,2,13,0,1,1,0
"42",1,0,1,14,10,10,1947,NA,2227,36,50380,486,2,1,50792.19921875,10,1,0.5,0,1099.19995117188,1099.19995117188,0,0,0,0,0,8,9,0,0,0,0,0,2,13,0,1,1,0
"45",1,0,1,12,11,7,1949,NA,3024,34,80150,6884,2,1,87020,9,3,0.800000011920929,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,3,41,0,1,1,0
"50",1,0,1,11,6,9,1949,NA,1968,34,27480,947,3,1,59540,NA,2,0.800000011920929,0,0,0,0,0,0,0,0,12,12,13740,9160,0,0,0,2,14,0,1,1,0
"51",0,0,1,12,6,9,1958,14,1750,25,13740,4981,2,1,50380,NA,2,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,12,12,13740,9160,0,0,0,2,14,0,1,NA,1
"52",0,0,1,10,6,6,1948,NA,1876,35,24045,277,2,0,47430.48046875,3,2,0.5,0,0,22698.48046875,22698.48046875,0,0,0,0,12,12,13740,9160,0,0,0,2,14,0,1,1,0
"54",1,0,1,12,3,9,1953,14,1273,31,18320,6848,2,1,28212.80078125,NA,2,1,0,0,12970.5595703125,0,0,1344,0,4320,12,12,13740,9160,0,0,0,2,14,0,1,1,0
"55",1,0,1,12,5,12,1947,NA,1435,36,22900,284,2,1,28052.5,12,3,0.699999988079071,0,1717.5,1717.5,0,0,0,0,0,12,12,13740,9160,0,0,0,2,14,0,1,1,0
"56",1,0,1,6,2,10,1948,NA,2532,36,24617.5,4372,3,1,24732,10,4,1,0,0,4254.81982421875,0,0,1858,0,0,2,NA,14885,0,0,0,0,3,3,0,1,1,0
"59",1,0,1,10,2,8,1955,3,2236,29,18320,4870,0,0,34350,3,3,NA,0,0,0,0,0,0,0,0,2,NA,14885,0,0,0,0,3,3,0,0,1,0
"60",1,0,1,12,7,8,1953,3,1744,30,22442,4370,4,1,60678.12890625,5,5,1.20000004768372,0,1603,1603,0,0,0,0,0,2,NA,14885,0,0,0,0,3,3,0,1,1,0
"62",1,0,1,12,5,11,1951,3,2430,32,19007,28,2,1,37098,6,3,0.800000011920929,0,0,817.530029296875,0,0,357,0,0,2,NA,14885,0,0,0,0,3,3,0,1,1,0
"71",1,1,0,9,12,8,1950,NA,2080,34,NA,5105,0,NA,36511.76171875,NA,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,0,0,NA,0,3,10,0,1,NA,0
"72",0,1,0,12,4,8,1952,10,2420,31,28625,1864,1,0,28625,4,3,0.5,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,3,10,0,1,1,0
"75",1,1,0,12,2,8,1953,10,2040,31,48090,1639,2,1,79005,5,3,0.699999988079071,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,3,10,0,1,1,0
"76",0,1,0,12,3,8,1958,10,1000,26,13740,2344,2,0,46945,1,2,0.800000011920929,0,0,0,0,0,0,1145,0,12,8,0,0,0,0,0,3,10,0,1,1,0
"594",0,0,1,12,1,11,1942,NA,NA,42,0,1164,2,NA,53425.69921875,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,0,0,NA,0
"600",1,0,1,12,7,3,1954,4,1916,29,60685,931,1,1,60730.80078125,4,3,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"637",1,0,1,17,12,12,1943,NA,1904,40,107980.3671875,5362,1,1,129428.5078125,14,1,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,0,1,1,0
"652",0,0,0,12,10,2,1941,NA,1976,42,29770,5514,2,NA,78217.2421875,21,4,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,0,1,NA,1
"674",0,0,1,17,8,10,1951,40,588,32,16030,1207,2,1,104195,2,1,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,0,1,NA,1
