"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"2",1,0,1,12,8,10,1955,2764,29,57460,3300,3,1,35360,11,2,0.699999988079071,0,0,0,0,0,0,0,0,11,9,26520,0,0,0,0,2,24,0,1,1,0
"3",0,0,1,11,9,10,1952,1440,31,9186.9697265625,3522,3,1,44200,7,2,0.600000023841858,0,0,NA,NA,NA,NA,0,NA,11,9,26520,0,0,0,0,2,24,0,1,NA,1
"4",1,0,1,4,10,10,1950,1500,34,NA,3521,1,0,35139,NA,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,11,9,26520,0,0,0,0,2,24,0,1,NA,0
"6",1,0,1,12,4,10,1958,3370,27,38675,3298,2,1,38675,9,1,1,0,0,0,0,0,0,0,0,11,9,26520,0,0,0,0,2,24,0,1,1,0
"7",1,0,1,12,5,10,1959,2600,25,29669.25,3931,2,1,30498,7,3,0.699999988079071,0,0,0,0,0,0,0,0,11,9,26520,0,0,0,0,2,24,0,1,1,0
"8",0,0,1,13,9,10,1953,873,31,21724.30078125,4728,3,1,102678.8125,13,2,0.800000011920929,0,0,NA,NA,NA,NA,0,NA,11,9,26520,0,0,0,0,3,9,0,1,NA,1
"9",1,0,1,12,10,10,1956,2080,28,35360,2753,3,1,38933.5703125,NA,1,1.29999995231628,0,0,216.580001831055,0,0,98,0,0,11,9,26520,0,0,0,0,2,24,0,0,1,0
"15",1,1,0,14,8,9,1954,2080,30,58565,4080,0,0,58565,12,1,1,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"18",0,1,0,16,6,9,1953,1696,31,55247.7890625,2768,2,0,114917.7890625,13,2,0.699999988079071,0,0,NA,NA,NA,NA,0,NA,11,11,0,0,0,0,0,1,37,0,1,NA,1
"19",0,0,1,15,12,9,1955,1666,29,40885,2595,2,0,40885,8,2,0.600000023841858,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"21",0,1,0,12,1,9,1958,1374,27,20774,4086,3,0,21923.19921875,9,3,0.800000011920929,0,0,2210,0,0,480,0,520,11,11,0,0,0,0,0,1,29,0,1,1,0
"23",1,1,0,14,8,9,1958,NA,25,NA,4091,5,0,20672.33984375,NA,NA,1.79999995231628,NA,NA,NA,NA,NA,NA,NA,NA,11,11,0,0,0,0,0,1,29,0,1,NA,0
"25",0,0,1,16,12,11,1956,1309,28,28730,3286,1,1,108290,10,2,0.5,0,0,NA,NA,NA,NA,0,NA,NA,17,121550,NA,NA,0,0,4,4,0,0,NA,1
