"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","height","weight","bmi","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"2",1,0,1,12,8,10,1955,1960,30,56420,2871,3,1,56420,11,3,72,190,25.7658176422119,0,0,0,0,0,0,0,0,11,9,11205.8798828125,1388.80004882812,0,0,0,2,24,0,1,1,0
"3",0,0,1,11,9,10,1952,1500,33,10307.5,3104,3,1,56420,7,3,63,115,20.3691101074219,0,0,0,0,0,NA,0,0,11,9,11205.8798828125,1388.80004882812,0,0,0,2,24,0,1,NA,1
"4",1,0,1,4,10,10,1950,1410,35,NA,4306,1,0,31159.029296875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,9,11205.8798828125,1388.80004882812,0,0,0,2,24,0,1,NA,0
"6",1,0,1,12,4,10,1958,4002,27,38192,2876,2,1,40730.8984375,9,2,69,165,24.3635787963867,0,0,0,0,0,0,0,0,11,9,11205.8798828125,1388.80004882812,0,0,0,2,24,0,1,1,0
"7",1,0,1,12,5,10,1959,2046,25,27125,3103,2,1,29928.640625,7,2,72,200,27.1219139099121,0,0,0,0,0,0,0,0,11,9,11205.8798828125,1388.80004882812,0,0,0,2,24,0,1,1,0
"8",0,0,1,13,9,10,1953,716,32,14105,6528,3,1,92277.078125,13,2,62,130,23.7747135162354,0,0,0,0,0,NA,0,0,11,9,11205.8798828125,1388.80004882812,0,0,0,3,9,0,1,NA,1
"9",1,0,1,12,10,10,1956,2112,29,34720,3102,3,1,53000.078125,10,1,72,200,27.1219139099121,0,486.079986572266,1527.68005371094,0,0,480,0,0,11,9,11205.8798828125,1388.80004882812,0,0,0,2,24,0,1,1,0
"17",1,1,0,13,11,9,1960,2195,25,33635,300,2,1,60760,4,2,65,137,22.795503616333,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"18",0,1,0,16,6,9,1953,1810,33,52080,6893,3,0,113925,13,3,59,110,22.214879989624,0,0,0,0,0,NA,0,0,11,11,0,0,0,0,0,1,37,0,0,NA,1
"19",0,0,1,15,12,9,1955,1750,30,40145,2741,2,0,40145,8,3,62,137,25.0548915863037,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"21",0,1,0,12,1,9,1958,2189,28,30744.560546875,1070,3,0,30896.4609375,9,3,62,175,32.0044212341309,0,0,477.399993896484,0,0,220,0,0,11,11,0,0,0,0,0,1,29,0,1,1,0
"23",1,1,0,14,8,9,1958,1820,26,NA,787,3,0,82034.6796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,0,0,0,0,0,1,29,0,1,NA,0
"25",0,0,1,16,12,11,1956,1740,29,32550,4042,1,1,107415,10,1,65,115,19.1349105834961,0,0,0,0,0,NA,0,0,NA,17,13888,NA,NA,0,0,4,4,0,1,NA,1
"26",1,0,1,14,6,11,1954,2662,31,86800,2004,0,0,86800,12,1,72,220,29.8341045379639,0,0,0,0,0,0,0,0,NA,17,13888,NA,NA,0,0,2,34,0,1,1,0
"27",1,0,1,17,6,11,1948,2207,38,145390,2929,0,1,206150,19,1,71,145,20.2211856842041,0,0,0,0,0,0,0,0,NA,17,13888,NA,NA,0,0,3,19,0,1,1,0
"30",1,0,1,17,10,11,1951,2684,35,75950,2002,2,1,157813.25,10,2,70,135,19.3683681488037,0,0,0,0,0,0,0,0,NA,17,13888,NA,NA,0,0,2,34,0,1,1,0
"31",0,0,1,16,2,11,1953,2214,33,53382,4041,0,0,53382,14,1,64,115,19.737548828125,0,0,0,0,0,0,0,0,NA,17,13888,NA,NA,0,0,2,34,0,1,1,0
"32",0,0,1,16,9,11,1960,1996,25,41772.5,3377,0,NA,63526.75,7,2,69,130,19.1955471038818,0,0,0,0,0,NA,0,0,NA,17,13888,NA,NA,0,0,2,34,0,1,NA,1
"33",1,0,1,17,1,11,1959,2048,27,17902.5,2354,1,1,76709.5,8,3,74,240,30.8108100891113,0,0,0,0,0,0,0,0,NA,17,13888,NA,NA,0,0,2,12,0,1,1,0
"37",0,0,1,12,5,10,1953,607,32,8680,4931,3,NA,72901.1484375,NA,3,62,NA,NA,0,0,0,0,0,NA,0,0,8,8,0,0,0,0,0,2,13,0,0,NA,1
"38",0,0,1,12,10,11,1951,2660,34,28752.5,4234,1,0,35581.48828125,10,4,57,110,23.8011703491211,0,0,0,0,0,0,6770.39990234375,0,8,8,0,0,0,0,0,2,13,0,1,1,0
"41",1,0,1,9,2,8,1957,1428,29,44485,6070,0,0,47609.80078125,10,1,65,140,23.2946739196777,2818.830078125,305.970001220703,3124.80004882812,0,0,0,0,0,8,8,0,0,0,0,0,2,13,0,1,1,0
"42",1,0,1,14,10,10,1947,2800,38,62930,4761,4,1,62930,17,3,69,180,26.5784492492676,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,2,13,0,1,1,0
"44",0,0,1,16,9,8,1959,1229,26,13020,4233,3,1,66592.9609375,4,3,62,115,21.0314769744873,0,0,0,0,0,NA,0,0,8,8,0,0,0,0,0,2,13,0,1,NA,1
"45",1,0,1,12,11,7,1949,2754,36,45743.6015625,5308,2,1,46889.359375,21,2,66,170,27.4357204437256,1145.76000976562,0,1145.76000976562,0,0,0,0,0,8,8,0,0,0,0,0,3,41,0,1,1,0
"48",0,0,1,8,7,9,1960,1500,25,34720,5370,2,0,60760,NA,3,65,105,17.4710063934326,0,0,0,0,0,0,0,0,12,12,15190,8680,0,0,0,2,14,0,1,1,0
"50",1,0,1,11,6,9,1949,2101,36,23870,3523,0,0,23870,18,3,67,145,22.7077293395996,0,0,0,0,0,0,0,0,12,12,15190,8680,0,0,0,2,14,0,1,1,0
"51",0,0,1,12,6,9,1958,2008,27,15190,1928,2,1,80290,5,1,63,105,18.5978832244873,0,0,0,0,0,NA,0,0,12,12,15190,8680,0,0,0,2,14,0,1,NA,1
"52",0,0,1,10,6,6,1948,1104,37,21700,659,2,0,52114.71875,12,3,65,114,18.9685211181641,0,0,20832,20832,0,0,0,0,12,12,15190,8680,0,0,0,2,14,0,1,1,0
"54",1,0,1,12,3,9,1953,1560,33,15190,5174,1,0,29342.740234375,14,3,73,175,23.0859451293945,0,3808.35009765625,3808.35009765625,0,0,0,0,0,12,12,15190,8680,0,0,0,2,14,0,1,1,0
"55",1,0,1,12,5,12,1947,1785,38,30380,5162,3,1,37975,19,3,70,165,23.6724491119385,0,0,0,0,0,0,0,0,12,12,15190,8680,0,0,0,2,14,0,1,1,0
"56",1,0,1,6,2,10,1948,2538,38,24955,6862,3,1,29755.0390625,19,3,69,284,41.934886932373,0,0,3124.80004882812,0,0,1440,0,0,3,NA,10850,0,0,0,0,3,3,0,1,1,0
"59",1,0,1,10,2,8,1955,868,31,6510,6861,2,0,12332.1103515625,12,4,66,180,29.0495872497559,0,0,0,0,0,0,0,0,3,NA,10850,0,0,0,0,3,3,0,1,1,0
"60",1,0,1,12,7,8,1953,2508,32,22656.970703125,6819,3,1,43957.69140625,13,5,67,165,25.8398303985596,0,0,1432.19995117188,0,0,660,0,0,3,NA,10850,0,0,0,0,3,3,0,1,1,0
"61",1,0,1,10,11,8,1960,NA,25,NA,6863,0,NA,20990.41015625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,10850,0,0,0,0,3,3,NA,NA,NA,0
"62",1,0,1,12,5,11,1951,2260,34,14105,1273,2,1,41325.48046875,17,3,69,210,31.0081920623779,0,0,0,0,0,0,0,0,3,NA,10850,0,0,0,0,3,3,0,1,1,0
"64",1,0,1,14,1,8,1956,344,30,NA,6861,2,1,12332.1103515625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,10850,0,0,0,0,3,3,0,1,NA,0
"69",1,1,0,12,2,8,1960,2080,26,NA,2824,0,0,33027.3984375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,11,0,0,0,0,0,3,10,0,1,NA,0
"72",0,1,0,12,4,8,1952,1964,33,28242.55078125,3100,1,0,28242.55078125,15,3,65,180,29.9502964019775,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,3,10,0,1,1,0
"73",1,1,0,12,3,8,1961,1184,25,14131.0400390625,3099,0,0,14673.5400390625,2,4,73,160,21.1071491241455,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,3,10,0,1,1,0
"75",1,1,0,12,2,8,1953,1962,33,47740,3098,2,1,76047.6484375,14,2,74,210,26.9594593048096,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,3,10,0,1,1,0
"76",0,1,0,12,3,8,1958,2200,28,30380,3632,2,0,30380,9,3,61,130,24.5606021881104,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,3,10,0,1,1,0
"594",0,0,1,12,1,11,1942,NA,44,0,6036,1,NA,30312.73046875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,0,0,NA,0
"600",1,0,1,12,7,3,1954,1856,31,62930,1107,1,1,62930,12,3,72,220,29.8341045379639,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"632",1,0,1,11,5,11,1934,2283,51,66799.109375,897,0,1,134540,33,1,70,150,21.5204086303711,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"637",1,0,1,17,12,12,1943,2003,42,117180,2368,1,1,151099.265625,23,1,74,190,24.3918914794922,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"671",0,0,1,12,7,11,1954,0,31,0,6629,2,NA,60760,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,1
"674",0,0,1,17,8,10,1951,684,34,15190,1967,2,1,111104,10,1,66,112,18.0752983093262,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,46,0,1,NA,1
"677",0,0,1,8,2,11,1934,0,52,0,2464,0,NA,63218.609375,NA,5,64,270,46.34033203125,0,0,8697.3603515625,8697.3603515625,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,0,NA,1
"701",1,0,1,17,9,9,1955,3750,30,69440,6246,2,1,87038.703125,11,1,76,225,27.3848686218262,0,0,0,0,0,0,0,0,12,NA,NA,14105,0,NA,0,4,4,0,1,1,0
