"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"2",1,0,1,12,8,10,1955,1969,32,64320,3419,3,1,64320,11,3,0,0,0,0,0,0,0,0,11,9,11931.3603515625,3015,0,0,0,2,24,0,1,1,0
"3",0,0,1,11,9,10,1952,168,35,1873.31994628906,3095,2,1,75375,7,1,0,0,0,0,0,NA,0,0,11,9,11931.3603515625,3015,0,0,0,2,24,0,0,NA,1
"4",1,0,1,4,10,10,1950,1500,37,NA,2508,1,0,35739.80859375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,9,11931.3603515625,3015,0,0,0,2,24,0,1,NA,0
"5",1,0,1,12,5,10,1962,3060,25,40200,2625,2,1,49245,4,1,0,0,0,0,0,0,0,0,11,9,11931.3603515625,3015,0,0,0,2,24,0,1,1,0
"6",1,0,1,12,4,10,1958,2577,30,34170,2129,2,1,34170,9,1,0,0,0,0,0,0,0,0,11,9,11931.3603515625,3015,0,0,0,2,24,0,1,1,0
"7",1,0,1,12,5,10,1959,3205,28,27738,2172,3,1,35434.2890625,7,3,0,0,0,0,0,0,0,0,11,9,11931.3603515625,3015,0,0,0,2,24,0,1,1,0
"8",0,0,1,13,9,10,1953,2127,34,18504.060546875,3096,3,1,105181.2890625,13,1,0,0,0,0,0,NA,0,0,11,9,11931.3603515625,3015,0,0,0,3,9,0,1,NA,1
"9",1,0,1,12,10,10,1956,2970,32,40200,2128,3,1,60300,10,1,0,0,0,0,0,0,0,0,11,9,11931.3603515625,3015,0,0,0,2,24,0,1,1,0
"16",0,1,0,12,6,9,1962,3370,25,54270,5953,1,1,105625.5,7,4,0,0,0,0,0,NA,0,0,11,11,0,0,0,0,0,1,29,0,1,NA,1
"17",1,1,0,13,11,9,1960,1836,27,31155,2711,2,1,111555,4,2,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,1,29,0,1,1,0
