"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"2",1,0,1,12,8,10,1955,24,3210,38,120450,1203,3,1,161370,11,1,0,0,0,0,0,0,0,0,11,9,11785.9501953125,1448.69995117188,0,0,0,2,24,0,1,1,0
"3",0,0,1,11,9,10,1952,24,2024,40,24750,318,0,NA,93720,15,3,0,0,0,0,0,NA,30030,0,11,9,11785.9501953125,1448.69995117188,0,0,0,2,24,0,1,NA,1
"4",1,0,1,4,10,10,1950,NA,1440,42,NA,243,0,0,33382.80078125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,9,11785.9501953125,1448.69995117188,0,0,0,2,24,0,1,NA,0
"5",1,0,1,12,5,10,1962,24,2060,30,30426,1189,3,1,48963.75,4,1,0,0,0,0,0,0,0,0,11,9,11785.9501953125,1448.69995117188,0,0,0,2,24,0,1,1,0
"6",1,0,1,12,4,10,1958,24,2805,35,18150,1296,3,1,18229.19921875,9,2,0,0,4950,0,0,3000,0,0,11,9,11785.9501953125,1448.69995117188,0,0,0,2,24,0,1,1,0
"7",1,0,1,12,5,10,1959,24,2800,34,27328.94921875,331,3,1,38364.1484375,7,3,0,0,0,0,0,0,0,0,11,9,11785.9501953125,1448.69995117188,0,0,0,2,24,0,1,1,0
"8",0,0,1,13,9,10,1953,24,2720,39,16500,1204,1,1,84810,13,2,0,0,0,0,0,NA,0,0,11,9,11785.9501953125,1448.69995117188,0,0,0,3,9,0,1,NA,1
"9",1,0,1,12,10,10,1956,24,3048,36,55852.5,1298,3,1,92276.25,10,2,0,0,0,0,0,0,0,0,11,9,11785.9501953125,1448.69995117188,0,0,0,2,24,0,1,1,0
"10",0,0,1,14,10,10,1964,24,2160,28,14850,227,0,0,14850,4,2,0,0,0,0,0,0,0,0,11,9,11785.9501953125,1448.69995117188,0,0,0,2,21,0,1,1,0
"11",1,1,0,16,10,9,1967,29,1680,25,35475,5222,2,1,37620,5,3,0,0,0,0,0,0,0,0,NA,11,0,NA,0,0,0,1,29,0,1,1,0
"12",1,1,0,12,5,9,1966,29,0,27,0,6268,0,0,49.5,6,3,0,0,0,0,0,0,0,0,NA,11,0,NA,0,0,0,1,29,0,1,1,0
"16",0,1,0,12,6,9,1962,29,1697,31,36300,6390,1,1,62218.19921875,13,3,0,0,0,0,0,NA,0,0,NA,11,0,NA,0,0,0,1,29,0,1,NA,1
"18",0,1,0,16,6,9,1953,29,693,40,3300,5219,4,0,37996.19921875,NA,3,0,0,0,0,0,NA,13464,0,NA,11,0,NA,0,0,0,1,29,0,0,NA,1
"19",0,0,1,15,12,9,1955,29,1715,37,47850,6450,2,1,112224.75,15,2,0,0,0,0,0,NA,8250,0,NA,11,0,NA,0,0,0,1,29,0,1,NA,1
"20",1,1,0,13,8,9,1963,29,2104,30,38395.5,7739,0,0,59845.5,5,1,0,0,0,0,0,0,0,0,NA,11,0,NA,0,0,0,1,29,0,1,1,0
"21",0,1,0,12,1,9,1958,29,1825,35,42900,6355,3,0,48602.3984375,9,3,0,0,0,0,0,0,5702.39990234375,0,NA,11,0,NA,0,0,0,1,29,0,1,1,0
"25",0,0,1,16,12,11,1956,34,331,36,4620,2637,3,1,90832.5,10,2,0,0,0,0,0,NA,0,0,NA,17,0,NA,NA,0,0,2,34,0,1,NA,1
"26",1,0,1,14,6,11,1954,34,2585,39,82500,2492,0,0,82665,12,2,0,0,0,0,0,0,0,0,NA,17,0,NA,NA,0,0,2,34,0,1,1,0
"27",1,0,1,17,6,11,1948,NA,2448,45,107250,2499,1,1,386265,19,2,0,0,0,0,0,0,0,0,NA,17,0,NA,NA,0,0,2,21,0,1,1,0
"28",0,0,1,15,10,11,1963,34,1012,29,34650,1848,0,0,34815,3,2,0,0,0,0,0,0,0,0,NA,17,0,NA,NA,0,0,2,12,0,1,1,0
"30",1,0,1,17,10,11,1951,34,2916,42,82500,2490,2,1,256410,10,3,0,0,0,0,0,0,0,0,NA,17,0,NA,NA,0,0,2,34,0,1,1,0
"31",0,0,1,16,2,11,1953,34,1960,40,47850,2638,0,1,122722.046875,NA,1,0,0,0,0,0,NA,0,0,NA,17,0,NA,NA,0,0,2,34,0,1,NA,1
"32",0,0,1,16,9,11,1960,34,0,32,0,7240,3,NA,95700,7,2,0,0,0,0,0,NA,0,0,NA,17,0,NA,NA,0,0,3,19,0,0,NA,1
"33",1,0,1,17,1,11,1959,34,2600,34,320100,2504,3,1,438916.5,8,3,0,0,0,0,0,0,0,0,NA,17,0,NA,NA,0,0,2,34,0,1,1,0
"34",1,0,1,12,11,8,1965,13,2145,27,41250,7238,0,0,41250,1,2,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,2,13,0,1,1,0
"37",0,0,1,12,5,10,1953,13,860,40,3630,8645,2,NA,16071,NA,3,0,0,0,0,0,NA,0,0,8,8,0,0,0,0,0,3,41,0,0,NA,1
"38",0,0,1,12,10,11,1951,13,1936,41,24750,5564,0,NA,70950,23,3,0,0,0,0,0,NA,0,0,8,8,0,0,0,0,0,2,13,0,1,NA,1
"39",0,0,1,17,2,8,1962,13,0,31,0,6380,1,1,69795,5,3,0,0,0,0,0,NA,0,0,8,8,0,0,0,0,0,2,13,0,0,NA,1
"41",1,0,1,9,2,8,1957,13,0,36,0,8646,5,1,22453.19921875,16,3,0,0,9444.599609375,0,0,1716,0,4008,8,8,0,0,0,0,0,1,20,0,0,1,0
"42",1,0,1,14,10,10,1947,NA,2000,45,29700,5587,3,1,41250,17,2,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,2,13,0,1,1,0
"43",0,0,1,12,10,NA,1948,NA,1062,44,6600,7256,3,1,60555,20,2,0,0,0,0,0,NA,0,0,8,8,0,0,0,0,0,2,13,0,1,NA,1
"44",0,0,1,16,9,8,1959,13,2133,33,23760,6360,3,0,50737.5,4,2,0,0,0,0,0,0,9570,0,8,8,0,0,0,0,0,2,13,0,1,1,0
"45",1,0,1,12,11,7,1949,NA,2160,43,46200,8719,0,1,97350,21,2,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,3,41,0,1,1,0
"48",0,0,1,8,7,9,1960,14,1785,33,14850,1263,3,NA,51975,8,3,0,0,0,0,0,NA,5775,0,12,NA,NA,9900,0,NA,0,2,14,0,1,NA,1
"49",0,0,1,12,9,9,1963,14,1996,29,30525,289,0,0,30574.5,8,2,0,0,0,0,0,0,0,0,12,NA,NA,9900,0,NA,0,2,14,0,1,1,0
"50",1,0,1,11,6,9,1949,NA,1960,43,34650,183,2,1,69630,18,1,0,0,0,0,0,0,0,0,12,NA,NA,9900,0,NA,0,2,14,0,1,1,0
"51",0,0,1,12,6,9,1958,14,2340,34,24750,184,2,1,75570,5,2,0,0,0,0,0,NA,0,0,12,NA,NA,9900,0,NA,0,2,14,0,1,NA,1
"52",0,0,1,10,6,6,1948,NA,1600,45,12375,180,2,NA,95040,20,2,0,0,0,0,0,NA,0,0,12,NA,NA,9900,0,NA,0,2,14,0,1,NA,1
"55",1,0,1,12,5,12,1947,NA,1950,45,26400,1392,5,1,44319,19,2,0,4719,4719,0,0,0,0,0,12,NA,NA,9900,0,NA,0,2,14,0,1,1,0
"56",1,0,1,6,2,10,1948,NA,1985,45,22275,1492,1,1,30939.150390625,19,4,3796.64990234375,0,6766.64990234375,0,0,1800,0,0,2,NA,0,NA,0,0,0,3,3,0,1,1,0
"57",1,0,1,4,8,8,1946,NA,2220,47,3432,3368,5,1,6337.64990234375,22,5,0,0,11332.2001953125,0,0,5544,0,1324,2,NA,0,NA,0,0,0,3,3,0,0,1,0
"58",0,0,1,9,8,8,1959,3,0,33,0,477,3,1,15675,7,4,0,0,0,0,0,NA,0,0,2,NA,0,NA,0,0,0,3,3,0,1,NA,1
"59",1,0,1,10,2,8,1955,3,2080,38,10230,470,2,1,38291.55078125,12,3,0,0,0,0,0,0,0,0,2,NA,0,NA,0,0,0,3,3,0,0,1,0
"60",1,0,1,12,7,8,1953,3,2040,40,37950,1521,0,1,62700,13,4,0,0,0,0,0,0,0,0,2,NA,0,NA,0,0,0,3,3,0,1,1,0
"61",1,0,1,10,11,8,1960,3,2080,32,8250,7549,0,1,9522.150390625,8,2,0,1272.15002441406,2955.14990234375,0,0,1020,0,0,2,NA,0,NA,0,0,0,3,3,0,1,1,0
"62",1,0,1,12,5,11,1951,3,2277,42,19800,2959,1,1,44860.19921875,17,3,0,1320,1320,0,0,0,0,0,2,NA,0,NA,0,0,0,3,3,0,1,1,0
"63",0,0,1,12,10,8,1963,3,113,29,3630,524,2,0,71709,NA,2,0,0,2640,0,0,600,0,1000,2,NA,0,NA,0,0,0,3,3,0,0,1,0
"64",1,0,1,14,1,8,1956,3,2340,37,35145,528,2,1,50160,12,4,0,0,0,0,0,0,0,0,2,NA,0,NA,0,0,0,3,3,0,1,1,0
"65",1,0,1,12,10,8,1962,3,2280,30,25080,522,0,0,25080,4,3,0,0,0,0,0,0,0,0,2,NA,0,NA,0,0,0,3,3,0,1,1,0
