"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"2",1,0,1,12,8,10,1955,3060,39,63961.55859375,3274,3,1,-8650.2001953125,11,3,11,9,0,0,0,0,0,2,24,0,1,1,0
"3",0,0,1,11,9,10,1952,520,42,4368,1639,0,0,11178.9599609375,20,4,11,9,0,0,0,0,0,2,24,0,0,1,0
"4",1,0,1,4,10,10,1950,NA,44,NA,133,0,0,34683.48046875,NA,NA,11,9,0,0,0,0,0,2,24,0,1,NA,0
"5",1,0,1,12,5,10,1962,1960,32,34320,2543,4,1,58032,4,1,11,9,0,0,0,0,0,2,24,0,1,1,0
"6",1,0,1,12,4,10,1958,2080,36,23400,125,3,1,27612,9,2,11,9,0,0,0,0,0,2,24,0,1,1,0
"7",1,0,1,12,5,10,1959,2016,35,24336,132,3,1,35566.44140625,7,3,11,9,0,0,0,0,0,2,24,0,1,1,0
"8",0,0,1,13,9,10,1953,0,41,0,124,1,1,79890.71875,13,2,11,9,0,0,0,0,0,3,9,0,0,NA,1
"9",1,0,1,12,10,10,1956,2750,38,93603.1171875,3739,2,1,130731.1171875,10,1,11,9,0,0,0,0,0,2,24,0,1,1,0
"10",0,0,1,14,10,10,1964,1975,30,18720,127,0,0,18720,4,2,11,9,0,0,0,0,0,2,21,0,1,1,0
"11",1,1,0,16,10,9,1967,1673,27,40873.55859375,6468,2,1,52834.078125,5,3,NA,11,0,NA,NA,0,0,1,29,0,1,1,0
"12",1,1,0,12,5,9,1966,2397,28,45240,5212,0,0,45240,6,2,NA,11,0,NA,NA,0,0,1,29,0,1,1,0
"13",1,1,0,14,3,9,1970,NA,25,0,3099,0,0,27844.439453125,NA,NA,NA,11,0,NA,NA,0,0,1,29,1,0,NA,0
"16",0,1,0,12,6,9,1962,1573,32,43680,3101,1,1,87361.5625,13,2,NA,11,0,NA,NA,0,0,1,29,0,1,NA,1
"18",0,1,0,16,6,9,1953,0,41,0,3100,4,0,45817.19921875,NA,3,NA,11,0,NA,NA,0,0,1,29,0,0,NA,1
"19",0,0,1,15,12,9,1955,1547,39,49920,3745,2,1,142825.796875,15,3,NA,11,0,NA,NA,0,0,1,29,0,1,NA,1
"20",1,1,0,13,8,9,1963,2040,31,52261.55859375,9838,0,0,52261.55859375,5,2,NA,11,0,NA,NA,0,0,1,29,0,1,1,0
"21",0,1,0,12,1,9,1958,1475,37,44929.55859375,3098,3,0,52405.078125,9,2,NA,11,0,NA,NA,0,0,1,29,0,1,1,0
"25",0,0,1,16,12,11,1956,1110,38,46800,1323,3,1,143445.125,10,1,NA,17,0,NA,NA,0,0,2,34,0,1,NA,1
"26",1,0,1,14,6,11,1954,2099,40,66769.5625,926,0,0,66927.1171875,12,2,NA,17,0,NA,NA,0,0,2,34,0,1,1,0
"27",1,0,1,17,6,11,1948,2438,46,0,6950,1,1,505455.59375,19,2,NA,17,0,NA,NA,0,0,2,21,0,1,1,0
"28",0,0,1,15,10,11,1963,2420,31,109203.1171875,925,0,0,109203.1171875,3,2,NA,17,0,NA,NA,0,0,2,12,0,1,1,0
"30",1,0,1,17,10,11,1951,2435,44,234007.796875,2130,2,1,325660.90625,10,1,NA,17,0,NA,NA,0,0,2,34,0,1,1,0
"31",0,0,1,16,2,11,1953,2040,42,49310.0390625,3529,0,1,121202.640625,NA,1,NA,17,0,NA,NA,0,0,2,34,0,1,NA,1
"32",0,0,1,16,9,11,1960,0,34,0,3530,3,NA,107643.1171875,7,2,NA,17,0,NA,NA,0,0,3,19,0,0,NA,1
"33",1,0,1,17,1,11,1959,2266,36,304210.90625,2448,3,1,445100.75,8,3,NA,17,0,NA,NA,0,0,2,34,0,1,1,0
"34",1,0,1,12,11,8,1965,2057,29,23400,3097,0,0,23400,1,2,8,8,0,0,0,0,0,2,13,0,1,1,0
"37",0,0,1,12,5,10,1953,1620,41,10764,4085,1,NA,44714.28125,NA,1,8,8,0,0,0,0,0,2,13,0,1,NA,1
"38",0,0,1,12,10,11,1951,1827,43,21840,1637,1,NA,76440,23,3,8,8,0,0,0,0,0,2,13,0,1,NA,1
"39",0,0,1,17,2,8,1962,1000,33,11700,1649,1,1,73633.5625,5,2,8,8,0,0,0,0,0,2,13,0,1,NA,1
"41",1,0,1,9,2,8,1957,1467,38,46800,138,4,1,77429.0390625,16,5,8,8,0,0,0,0,0,1,20,0,0,1,0
"42",1,0,1,14,10,10,1947,2000,47,34320,1653,3,1,48358.44140625,17,3,8,8,0,0,0,0,0,2,13,0,1,1,0
"43",0,0,1,12,10,NA,1948,2052,46,17472,3277,2,1,93678,20,2,8,8,0,0,0,0,0,2,13,0,1,NA,1
"44",0,0,1,16,9,8,1959,1842,35,16536,1642,4,NA,81488.15625,14,3,8,8,0,0,0,0,0,2,13,0,1,NA,1
"45",1,0,1,12,11,7,1949,2605,45,54601.55859375,1634,0,1,78001.5625,21,2,8,8,0,0,0,0,0,3,41,0,1,1,0
"48",0,0,1,8,7,9,1960,1696,34,14038.4404296875,6067,3,NA,68016,8,3,12,NA,NA,9358.4404296875,0,NA,0,2,14,0,1,NA,1
"49",0,0,1,12,9,9,1963,2168,31,28080,3945,0,0,28095.599609375,8,2,12,NA,NA,9358.4404296875,0,NA,0,2,14,0,1,1,0
