"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","height","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"1",1,0,1,17,6,10,1970,2450,26,42624,132,0,1,42624,1,1,72,11,9,0,0,0,0,0,3,1,0,1,1,0
"2",1,0,1,12,8,10,1955,2616,41,74000,2609,2,1,59688.3984375,11,2,71,11,9,0,0,0,0,0,2,24,0,1,1,0
"4",1,0,1,4,10,10,1950,NA,46,0,5585,0,0,39430.16015625,NA,NA,NA,11,9,0,0,0,0,0,2,24,0,0,NA,0
"5",1,0,1,12,5,10,1962,1984,34,34040,1765,4,1,65860,4,1,71,11,9,0,0,0,0,0,2,24,0,1,1,0
"6",1,0,1,12,4,10,1958,2080,38,0,2082,3,1,40700,9,2,68,11,9,0,0,0,0,0,2,24,0,1,1,0
"7",1,0,1,12,5,10,1959,2000,37,24704.16015625,474,2,1,39561.87890625,7,3,72,11,9,0,0,0,0,0,2,24,0,1,1,0
"8",0,0,1,13,9,10,1953,0,43,0,4274,0,1,84357.0390625,13,1,62,11,9,0,0,0,0,0,3,9,0,0,NA,1
"9",1,0,1,12,10,10,1956,3060,40,118400,2607,1,1,208384,10,2,72,11,9,0,0,0,0,0,2,24,0,1,1,0
"10",0,0,1,14,10,10,1964,2250,32,23813.19921875,139,0,0,23813.19921875,4,3,64,11,9,0,0,0,0,0,2,21,0,1,1,0
"11",1,1,0,16,10,9,1967,2056,29,2442,981,2,1,22161.51953125,5,2,69,NA,11,0,NA,NA,0,0,1,29,0,1,1,0
"12",1,1,0,12,5,9,1966,576,30,4440,987,0,0,9176,6,3,68,NA,11,0,NA,NA,0,0,1,29,0,1,1,0
"13",1,1,0,14,3,9,1970,NA,26,NA,983,0,0,39634.3984375,NA,NA,NA,NA,11,0,NA,NA,0,0,1,29,0,1,NA,0
"14",0,1,0,13,7,9,1971,1795,25,36807.6015625,980,1,0,36807.6015625,3,2,66,NA,11,0,NA,NA,0,0,1,29,0,1,1,0
"16",0,1,0,12,6,9,1962,0,34,0,2362,0,0,828.799987792969,14,3,NA,NA,11,0,NA,NA,0,0,1,29,0,0,1,0
"18",0,1,0,16,6,9,1953,0,43,0,207,4,0,13231.2001953125,20,2,60,NA,11,0,NA,NA,0,0,1,29,0,0,1,0
"19",0,0,1,15,12,9,1955,1715,41,51800,979,1,1,140600,15,3,63,NA,11,0,NA,NA,0,0,1,29,0,1,NA,1
"20",1,1,0,13,8,9,1963,2080,33,14800,206,0,0,14800,5,2,70,NA,11,0,NA,NA,0,0,1,29,0,1,1,0
"21",0,1,0,12,1,9,1958,1782,39,3321.1201171875,211,2,0,14850.3203125,9,1,61,NA,11,0,NA,NA,0,0,1,29,0,1,1,0
"25",0,0,1,16,12,11,1956,1205,40,53280,5217,3,1,160247,10,1,64,NA,17,0,NA,NA,0,0,2,34,0,1,NA,1
"26",1,0,1,14,6,11,1954,2504,42,84360,734,0,0,84567.203125,12,1,72,NA,17,0,NA,NA,0,0,2,34,0,1,1,0
"27",1,0,1,17,6,11,1948,2024,48,0,5077,1,1,840640,19,2,71,NA,17,0,NA,NA,0,0,2,21,0,1,1,0
"28",0,0,1,15,10,11,1963,2470,33,125800,4015,0,0,125800,3,2,66,NA,17,0,NA,NA,0,0,2,12,0,1,1,0
"30",1,0,1,17,10,11,1951,2500,46,133200,2030,2,1,234432,10,2,71,NA,17,0,NA,NA,0,0,2,34,0,1,1,0
"31",0,0,1,16,2,11,1953,2440,44,58460,4213,0,1,133940,NA,2,63,NA,17,0,NA,NA,0,0,2,34,0,1,NA,1
"32",0,0,1,16,9,11,1960,0,36,0,2233,3,NA,108040,7,3,69,NA,17,0,NA,NA,0,0,3,19,0,0,NA,1
"33",1,0,1,17,1,11,1959,2080,38,310800,1928,3,1,481534.28125,8,3,74,NA,17,0,NA,NA,0,0,2,34,0,1,1,0
"34",1,0,1,12,11,8,1965,2080,31,23680,5581,0,0,23680,1,2,68,8,8,0,0,0,0,0,2,13,0,1,1,0
"37",0,0,1,12,5,10,1953,0,43,0,4392,0,NA,41080.359375,NA,3,63,8,8,0,0,0,0,0,2,13,0,0,NA,1
"38",0,0,1,12,10,11,1951,2295,45,22200,66,1,NA,74000,23,3,57,8,8,0,0,0,0,0,2,13,0,1,NA,1
"39",0,0,1,17,2,8,1962,1952,35,20720,281,1,1,85840,5,2,68,8,8,0,0,0,0,0,2,13,0,1,NA,1
"41",1,0,1,9,2,8,1957,1320,40,14800,420,1,1,28350.880859375,16,4,67,8,8,0,0,0,0,0,2,13,0,1,1,0
"42",1,0,1,14,10,10,1947,2010,49,35520,2535,4,1,56536,17,3,68,8,8,0,0,0,0,0,2,13,0,1,1,0
"43",0,0,1,12,10,NA,1948,2000,48,17760,727,1,1,103008,20,2,63,8,8,0,0,0,0,0,2,13,0,1,NA,1
"44",0,0,1,16,9,8,1959,2040,37,25160,725,4,NA,88563.203125,14,3,62,8,8,0,0,0,0,0,2,13,0,1,NA,1
"45",1,0,1,12,11,7,1949,3525,47,126615.4765625,2802,0,1,141415.484375,21,3,66,8,8,0,0,0,0,0,3,41,0,1,1,0
"48",0,0,1,8,7,9,1960,1750,36,14800,633,2,NA,56832,8,3,67,12,NA,NA,0,0,NA,0,2,14,0,1,NA,1
"49",0,0,1,12,9,9,1963,1344,33,28120,3009,1,0,45912.55859375,8,2,NA,12,NA,NA,0,0,NA,0,2,14,0,1,1,0
"50",1,0,1,11,6,9,1949,2000,47,29600,3862,0,1,45880,18,1,69,12,NA,NA,0,0,NA,0,2,14,0,1,1,0
"51",0,0,1,12,6,9,1958,2304,38,13616,3692,1,1,149799.6875,17,2,63,12,NA,NA,0,0,NA,0,2,14,0,1,NA,1
"52",0,0,1,10,6,6,1948,2900,48,22200,3008,1,NA,71528.3984375,20,2,66,12,NA,NA,0,0,NA,0,2,14,0,1,NA,1
"55",1,0,1,12,5,12,1947,1800,49,2220,1150,5,1,18381.599609375,19,3,70,12,NA,NA,0,0,NA,0,2,14,0,0,1,0
"56",1,0,1,6,2,10,1948,87,49,3552,1722,2,1,43106.48046875,19,5,68,NA,NA,0,NA,NA,0,0,3,3,0,0,1,0
"57",1,0,1,4,8,8,1946,303,50,5920,4832,5,1,41952.078125,22,5,69,NA,NA,0,NA,NA,0,0,3,3,0,0,1,0
"58",0,0,1,9,8,8,1959,778,37,5624,2818,4,NA,25500.888671875,7,4,NA,NA,NA,0,NA,NA,0,0,3,3,0,1,NA,1
"59",1,0,1,10,2,8,1955,2570,42,34040,5177,2,1,65256.16015625,12,4,64,NA,NA,0,NA,NA,0,0,3,3,0,1,1,0
"60",1,0,1,12,7,8,1953,434,43,0,2560,1,1,44548,13,5,73,NA,NA,0,NA,NA,0,0,3,3,0,0,1,0
"61",1,0,1,10,11,8,1960,3120,36,22200,4594,0,1,24864,8,2,66,NA,NA,0,NA,NA,0,0,3,3,0,1,1,0
"62",1,0,1,12,5,11,1951,2500,45,29896,2040,0,1,48396,17,3,68,NA,NA,0,NA,NA,0,0,3,3,0,1,1,0
"63",0,0,1,12,10,8,1963,1167,33,11248,2819,3,NA,59075.6796875,12,3,64,NA,NA,0,NA,NA,0,0,3,3,0,1,NA,1
"64",1,0,1,14,1,8,1956,2836,41,37888,2910,1,1,76368,12,4,69,NA,NA,0,NA,NA,0,0,3,3,0,1,1,0
"65",1,0,1,12,10,8,1962,1703,34,38480,5696,0,0,38480,4,2,70,NA,NA,0,NA,NA,0,0,3,3,0,0,1,0
"68",0,1,0,12,3,8,1965,1344,31,14800,459,3,0,14800,7,1,60,12,NA,NA,0,0,NA,0,3,10,0,1,1,0
"69",1,1,0,12,2,8,1960,NA,37,NA,458,0,0,14136.9599609375,NA,NA,NA,12,NA,NA,0,0,NA,0,3,10,0,1,NA,0
"70",1,1,0,12,3,8,1962,1984,34,48840,1254,0,0,48840,5,3,60,12,NA,NA,0,0,NA,0,3,10,0,1,1,0
"72",0,1,0,12,4,8,1952,2500,44,25160,462,0,1,47360,NA,2,66,12,NA,NA,0,0,NA,0,3,10,0,1,NA,1
"73",1,1,0,12,3,8,1961,NA,36,0,459,3,0,14800,NA,NA,NA,12,NA,NA,0,0,NA,0,3,10,0,0,NA,0
"75",1,1,0,12,2,8,1953,1760,44,22200,460,2,1,51800,14,3,76,12,NA,NA,0,0,NA,0,3,10,0,1,1,0
"76",0,1,0,12,3,8,1958,2080,38,11840,3807,3,0,19405.759765625,15,3,61,12,NA,NA,0,0,NA,0,3,10,0,1,1,0
"600",1,0,1,12,7,3,1954,1904,42,68080,882,1,1,72520,12,3,72,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"637",1,0,1,17,12,12,1943,2350,53,145040,3842,0,1,206357.875,23,1,74,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"668",1,0,1,11,12,8,1956,1984,40,42920,3214,2,1,69560,19,1,74,NA,NA,NA,NA,NA,NA,0,3,23,0,1,1,0
"674",0,0,1,17,8,10,1951,1506,45,47469.51953125,4193,0,0,66443.1171875,26,2,66,NA,NA,NA,NA,NA,NA,0,4,46,0,1,1,0
"688",0,0,1,17,2,11,1966,1880,31,47360,1070,1,1,155548,12,1,59,13,17,79920,32890.0390625,0,0,0,4,4,0,1,NA,1
"694",1,0,1,13,10,12,1961,1930,35,42325.0390625,660,4,1,126226.2421875,14,2,66,NA,NA,NA,NA,NA,NA,0,3,16,0,1,1,0
"701",1,0,1,17,9,9,1955,2380,41,48840,4564,1,1,131743.6875,11,2,76,12,NA,NA,0,0,NA,0,4,4,0,1,1,0
"723",0,0,1,16,10,9,1971,2000,25,25900,2690,0,1,46620,6,1,61,14,17,148000,48100,0,0,0,3,17,0,1,NA,1
"731",1,0,1,16,10,8,1965,2660,31,61017.44140625,130,1,1,61126.9609375,9,2,73,12,12,35964,59200,0,0,0,1,37,0,1,1,0
"744",1,0,1,12,8,11,1958,NA,38,NA,448,0,NA,77788.796875,NA,NA,NA,12,12,14800,0,0,0,0,4,4,0,1,NA,0
"759",0,0,1,17,4,11,1959,2116,37,91020,2107,0,1,216993.15625,1,2,64,NA,NA,NA,NA,NA,NA,0,4,46,0,1,NA,1
"764",0,0,1,13,5,11,1960,2158,36,21312,3288,2,1,56832,7,2,64,NA,NA,NA,NA,NA,NA,0,2,12,0,1,NA,1
"769",0,0,1,12,4,10,1960,117,36,2220,2082,3,NA,40700,NA,2,66,NA,NA,NA,NA,NA,NA,0,2,24,0,0,NA,1
"780",1,0,1,15,10,13,1960,430,36,0,5502,0,0,20720,6,1,75,16,16,0,0,0,0,0,3,32,0,1,1,0
"790",1,0,1,12,2,11,1952,2080,45,87320,2118,0,1,193288,15,1,73,NA,NA,NA,NA,NA,NA,0,2,12,0,1,1,0
"796",1,0,1,12,5,12,1952,2765,44,77643.7578125,935,0,0,82153.3203125,15,3,72,12,12,0,0,0,0,0,2,48,0,1,1,0
"805",1,1,0,12,12,8,1949,0,47,0,4941,3,1,84087.6796875,17,4,73,12,9,0,0,0,0,0,2,34,0,0,1,0
"817",1,0,1,12,1,10,1943,1770,55,50320,2416,0,0,50320,25,3,75,NA,NA,NA,NA,NA,NA,0,4,36,0,0,1,0
"829",0,0,1,14,12,10,1969,1992,27,20720,745,1,1,72076,1,4,66,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"836",1,0,1,12,11,10,1969,NA,27,NA,3389,0,NA,282311.46875,NA,NA,NA,16,15,145040,0,0,0,0,3,3,0,1,NA,0
"839",1,0,1,12,3,10,1945,1785,51,65120,2429,1,0,137925.640625,20,3,70,NA,NA,NA,NA,NA,NA,0,3,41,0,1,1,0
"840",1,0,1,17,5,10,1954,3000,43,207200,5828,2,1,651940,13,2,NA,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"841",0,0,1,12,12,10,1941,940,55,17022.9609375,3313,1,1,118550.9609375,7,2,63,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"842",0,0,1,16,2,11,1944,0,53,0,538,0,1,372851.96875,8,1,64,NA,NA,NA,NA,NA,NA,0,3,1,0,0,NA,1
"849",1,0,1,13,3,9,1963,2765,33,54168,125,1,1,68524,4,2,70,14,12,58008.6015625,10577.5595703125,0,0,0,3,35,0,1,1,0
"850",1,0,1,17,6,11,1968,2880,28,44400,2719,1,1,59200,NA,NA,70,NA,NA,NA,NA,NA,NA,0,3,39,0,1,1,0
"856",1,0,1,9,3,9,1964,2477,32,24346,18,3,1,57734.80078125,11,3,68,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"863",0,0,1,17,11,10,1950,1990,46,81400,5814,1,NA,132460,18,2,60,NA,NA,NA,NA,NA,NA,0,2,24,0,1,NA,1
"865",1,0,1,10,9,9,1956,1960,40,44400,2272,0,1,88800,10,2,71,5,NA,NA,0,0,NA,0,2,48,0,1,1,0
"867",0,0,1,12,10,12,1965,0,31,0,1576,3,1,43628.7109375,11,3,52,NA,NA,NA,NA,NA,NA,0,1,37,0,0,NA,1
"893",0,0,1,16,2,10,1957,676,40,6956,4205,2,1,81400,8,1,66,NA,NA,NA,NA,NA,NA,0,3,32,0,1,NA,1
"894",0,0,1,17,4,9,1943,2513,54,48100,4856,0,0,65531.15625,28,3,68,NA,NA,NA,NA,NA,NA,0,3,41,0,1,1,0
"912",1,0,1,17,12,9,1969,1891,27,47360,917,0,0,47360,7,1,69,16,12,74000,0,0,0,0,1,20,0,1,1,0
"915",0,0,1,12,2,10,1970,1858,27,28120,4505,0,1,119880,7,3,67,12,14,100640,17022.9609375,0,0,0,1,37,0,1,NA,1
"951",0,0,1,17,11,11,1958,1576,38,23680,5376,2,NA,57720,4,2,66,NA,NA,NA,NA,NA,NA,0,2,14,0,1,NA,1
"970",0,0,1,12,10,11,1948,1936,48,28120,1699,0,1,94720,12,2,65,NA,NA,NA,NA,NA,NA,0,3,17,0,1,NA,1
"975",1,0,0,12,12,9,1938,2380,58,88800,814,0,1,108040,29,3,71,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"976",0,0,1,12,5,10,1960,1560,37,35520,5491,1,0,43369.921875,13,2,68,5,5,0,0,0,0,0,3,41,0,1,1,0
"998",0,0,1,12,5,11,1958,2014,38,23176.80078125,4466,0,1,52893.71875,NA,3,65,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"1036",0,1,0,13,7,10,1947,3060,49,25900,2138,0,1,88807.3984375,12,4,66,NA,NA,NA,NA,NA,NA,0,3,1,0,1,NA,1
"1068",1,0,1,17,1,11,1950,1920,47,39960,4225,0,1,105524,13,1,NA,NA,NA,NA,NA,NA,NA,0,2,24,0,1,1,0
"1086",1,0,1,NA,5,11,1967,NA,29,NA,2500,0,NA,173710.5625,NA,NA,NA,12,14,170200,0,0,0,1,3,32,NA,NA,NA,0
"1114",1,0,1,14,12,13,1953,2400,43,99160,3347,0,1,206312,13,1,71,14,14,0,0,0,0,0,4,4,0,1,1,0
"1138",1,0,1,17,3,10,1970,1653,26,41440,2555,0,1,68080,5,1,68,NA,NA,NA,NA,NA,NA,0,2,14,0,1,1,0
"1154",0,0,1,17,12,8,1953,1715,43,109520,4060,1,1,109520,11,1,68,NA,NA,NA,NA,NA,NA,0,3,10,0,1,NA,1
"1162",1,0,1,15,11,11,1963,3380,33,48840,6197,0,1,103600,3,2,72,14,16,27705.599609375,44400,0,0,0,3,42,0,1,1,0
"1172",1,0,1,16,7,12,1959,2187,37,125800,1320,2,1,143641.40625,7,2,70,16,17,69560,18714.599609375,0,0,0,2,21,0,1,1,0
"1180",0,0,1,17,9,12,1948,0,48,0,3883,2,1,245976,NA,1,72,12,NA,NA,0,0,NA,0,2,24,0,0,NA,1
"1185",1,0,1,12,7,10,1958,2342,38,75480,674,2,1,125800,8,2,71,NA,NA,NA,NA,NA,NA,0,3,39,0,1,1,0
"1187",0,0,1,17,5,9,1952,3040,44,125800,6246,2,1,606800,14,1,68,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
