"","male","black","white","edu","hours","age","inc_labor","int_id","hhchildren","married","fam_inc"
"2",1,0,1,12,1984,26,51870,5604,2,1,51870
"3",0,0,1,11,1200,29,7345.77978515625,4802,3,1,41990
"8",0,0,1,13,1036,28,17290,5689,3,1,79287
"9",1,0,1,12,1380,25,37050,2493,3,1,37050
"15",1,1,0,14,1957,27,61750,4745,0,0,81922.4921875
"18",0,1,0,16,1778,28,60515,5441,0,0,60515
"19",0,0,1,15,1694,26,29798.080078125,4746,1,0,29798.080078125
"25",0,0,1,16,2205,25,35444.5,499,0,0,35481.55078125
"26",1,0,1,14,3413,27,81510,498,2,1,106210
"27",1,0,1,17,1962,34,116509.8984375,1235,0,1,203130.328125
"30",1,0,1,17,2205,31,76570,158,0,1,136467.5
"31",0,0,1,16,2003,29,47671,1874,0,0,47737.69140625
"38",0,0,1,12,200,30,494,2880,1,1,51178.3984375
"41",1,0,1,9,2168,25,40977.30078125,2089,0,0,42978
"42",1,0,1,14,2352,34,44460,3064,3,1,59280
"45",1,0,1,12,2339,32,69160,4532,2,1,69777.5
"50",1,0,1,11,1814,32,27170,3591,3,1,31369
"52",0,0,1,10,1733,33,24700,2852,2,0,48085.9609375
"54",1,0,1,12,1612,29,19760,3953,0,0,36879.5703125
"55",1,0,1,12,780,34,14820,3157,1,1,14820
"56",1,0,1,6,2418,34,14079,2992,3,1,14079
"59",1,0,1,10,1638,27,1729,6579,1,1,1729
"60",1,0,1,12,1720,28,27170,6104,3,1,32539.779296875
"62",1,0,1,12,2375,30,21242,3706,2,1,21242
"72",0,1,0,12,2040,29,29795.609375,3116,1,0,29795.609375
"75",1,1,0,12,1920,29,43225,6038,2,1,62985
"600",1,0,1,12,1996,27,49400,2977,1,1,49400
"637",1,0,1,17,1944,38,99726.25,4510,1,1,122430.4921875
"674",0,0,1,17,573,30,19760,1497,1,1,72618
"701",1,0,1,17,1960,26,56810,5934,2,1,56810
"762",1,0,1,10,1812,31,61750,5571,2,1,67591.546875
"790",1,0,1,12,2112,30,37050,5175,0,1,101467.6015625
"796",1,0,1,12,1949,29,36197.8515625,342,0,0,40569.75
"805",1,1,0,12,3288,32,81510,3864,2,1,85215
"817",1,0,1,12,2697,40,44460,4905,0,0,45596.19921875
"839",1,0,1,12,900,37,9786.1396484375,553,1,1,18413.849609375
"841",0,0,1,12,100,40,988,4307,3,1,89167
"842",0,0,1,16,0,38,0,5095,3,1,338884
"865",1,0,1,10,1952,25,44213,80,2,1,48572.55078125
"892",1,0,1,12,1968,49,59280,5817,0,1,85462
"893",0,0,1,16,2040,25,20550.400390625,4462,0,1,68715.3984375
"894",0,0,1,17,65,38,3922.36010742188,462,2,1,79010.359375
"970",0,0,1,12,2024,33,23588.5,6094,1,1,71012.5
"975",1,0,0,12,2527,42,80275,1034,1,1,123006
"991",0,0,1,12,1960,57,27170,6240,0,1,87191
"1036",0,1,0,13,2504,34,20501,3551,1,1,61799.3984375
"1114",1,0,1,14,1819,28,61750,4873,0,0,87890.0078125
"1154",0,0,1,17,1880,28,41990,1731,1,1,64220
"1161",1,0,1,13,2350,51,91822.25,1412,1,1,306280
"1180",0,0,1,17,2295,33,0,2112,0,1,259350
"1187",0,0,1,17,2352,29,56810,2453,0,1,134121
"1211",0,0,1,17,1562,38,39520,5362,2,1,105963
"1212",0,0,1,12,1295,37,11856,1034,1,1,123006
"1247",0,0,1,17,2205,25,39520,4330,0,1,78793
"1264",0,0,1,12,1640,32,14943.5,5744,0,0,14943.5
"1328",1,0,1,16,2300,55,74100,3454,0,1,113620
"1334",0,0,1,12,1920,40,24206,3478,1,1,74100
"1345",1,0,1,17,1879,28,28286.439453125,2077,0,0,30818.189453125
"1358",0,0,1,12,0,38,0,134,2,1,46930
"1371",1,0,1,17,1905,33,64032.28125,5769,2,1,68651.1796875
"1419",0,0,1,12,260,26,3211,5701,2,1,72371
"1427",1,0,1,16,2794,29,51870,5384,0,1,89414
"1431",1,0,1,16,1806,55,108680,2601,0,1,164255
"1490",0,0,1,11,1421,40,18428.669921875,434,1,1,70187.5234375
"1506",0,1,0,14,1960,28,26429,6297,1,1,51129
"1544",0,0,1,12,1755,31,4446,5212,2,1,64343.5
"1546",0,0,1,14,1278,30,17290,4736,1,1,62256.3515625
"1584",0,0,1,16,1040,38,42385.19921875,3440,3,1,104258.703125
"1608",0,0,1,16,104,45,2470,4786,3,1,158574
"1612",0,1,0,12,1880,29,30628,28,1,0,31616
"1626",0,0,1,14,1555,31,23465,1717,0,1,124488
"1631",0,0,1,16,2232,28,49400,495,0,1,128687
"1647",0,0,1,12,0,28,0,779,2,1,103184.25
"1662",0,0,1,16,1806,43,29640,3920,0,1,147293.515625
"1674",0,0,1,16,792,32,508.820007324219,5774,1,1,76090.8203125
"1679",0,0,1,12,0,25,0,2589,2,1,87685
"1680",0,0,1,12,200,57,988,630,0,1,62871.37890625
"1734",0,0,1,12,1517,32,10094.8896484375,1119,0,0,13286.1298828125
"1772",1,0,1,8,2176,54,44828.03125,817,0,0,45151.6015625
"1776",1,0,1,12,2496,44,30252.560546875,3485,0,0,54340
"1822",0,0,1,12,450,58,3705,1590,0,1,75335
"1834",1,0,1,12,3060,52,66690,2296,0,1,66690
"1844",1,0,1,12,2198,53,73811.0078125,4460,2,1,81522.3515625
"1863",1,0,1,17,2026,32,77224.546875,3444,3,1,78014.953125
