"","male","black","white","edu","hours","age","inc_labor","int_id"
"2",1,0,1,12,1969,32,64320,3419
"3",0,0,1,11,168,35,1873.31994628906,3095
"5",1,0,1,12,3060,25,40200,2625
"6",1,0,1,12,2577,30,34170,2129
"7",1,0,1,12,3205,28,27738,2172
"8",0,0,1,13,2127,34,18504.060546875,3096
"9",1,0,1,12,2970,32,40200,2128
"16",0,1,0,12,3370,25,54270,5953
"17",1,1,0,13,1836,27,31155,2711
"18",0,1,0,16,0,34,0,5954
"19",0,0,1,15,1750,32,44107.44140625,2982
"21",0,1,0,12,1701,30,41808,2085
"25",0,0,1,16,1661,31,38716.62109375,5158
"26",1,0,1,14,2972,33,93465,5723
"27",1,0,1,17,1904,39,144720,5730
"30",1,0,1,17,2450,37,120600,5119
"31",0,0,1,16,2066,35,55687.05078125,1570
"32",0,0,1,16,2000,27,50250,5708
"33",1,0,1,17,4146,29,90450,5712
"37",0,0,1,12,0,34,0,30
"38",0,0,1,12,2273,36,26210.400390625,60
"39",0,0,1,17,1984,26,28743,58
"41",1,0,1,9,2691,31,56079,1685
"42",1,0,1,14,2275,40,64320,31
"44",0,0,1,16,2034,28,14005.6796875,32
"45",1,0,1,12,2954,38,78993,1686
"47",1,0,1,10,2256,25,38190,3217
"48",0,0,1,8,1960,27,12060,124
"50",1,0,1,11,2048,38,22110,1446
"51",0,0,1,12,2080,29,28140,5078
"52",0,0,1,10,1248,39,6030,3063
"54",1,0,1,12,1560,35,15477,3064
"55",1,0,1,12,2600,41,30150,5617
"56",1,0,1,6,2624,40,22214.51953125,6184
"59",1,0,1,10,1348,33,13213.740234375,5567
"60",1,0,1,12,196,34,3015,5230
"61",1,0,1,10,3251,27,20100,6885
"62",1,0,1,12,2510,36,22110,5620
"64",1,0,1,14,2193,32,29748,5381
"65",1,0,1,12,3000,25,4824,6884
"70",1,1,0,12,2120,26,26130,5134
"72",0,1,0,12,1960,36,29949,5141
"73",1,1,0,12,680,27,10050,6993
"75",1,1,0,12,2168,35,50501.25,5307
"76",0,1,0,12,1582,30,31020.330078125,4559
"600",1,0,1,12,1910,33,66330,1771
"632",1,0,1,11,2811,53,134670,2158
