"","male","black","hours","age","inc_labor","works","int_id"
"1",1,0,2727,33,92880,1,6062
"2",1,0,3440,47,64500,1,4511
"5",1,0,2080,41,0,1,5461
"6",1,0,2040,44,0,1,966
"7",1,0,1868,43,20188.5,1,492
"8",0,0,2341,49,6063,1,1820
"9",1,0,2064,46,109650,1,390
"10",0,0,0,38,0,0,2742
"11",1,1,1667,35,55470,1,4439
"12",1,1,1261,37,19350,1,4594
"14",0,1,1680,31,49020,1,4378
"16",0,1,0,41,0,0,5666
"18",0,1,1957,49,25026,1,3818
"19",0,0,2600,47,60630,1,3739
"20",1,1,0,39,0,1,4418
"21",0,1,1783,45,59340,1,4343
"25",0,0,0,46,0,0,3374
"26",1,0,2706,48,126420,0,3538
"27",1,0,2277,54,322502.59375,1,2204
"30",1,0,2170,52,129000,1,633
"31",0,0,2000,50,42253.94921875,1,2267
"32",0,0,1000,42,12900,1,5908
"33",1,0,3300,44,464400,1,6569
"37",0,0,0,49,0,0,1626
"38",0,0,1560,51,19350,1,2321
"39",0,0,1991,41,37410,1,3079
"42",1,0,1960,55,41280,1,2445
"43",0,0,1900,54,37410,1,2341
"44",0,0,2500,43,56760,1,3023
"45",1,0,2874,53,32250,1,3762
"48",0,0,1428,43,17415,1,4926
"49",0,0,1847,39,28380,1,5107
"50",1,0,1960,53,28380,1,2986
"52",0,0,2040,55,30960,1,5368
"55",1,0,1285,56,41280,1,4865
"57",1,0,0,56,0,1,6849
"58",0,0,0,43,0,0,3130
"59",1,0,2120,48,29670,0,2182
"61",1,0,3250,42,25800,1,1573
"62",1,0,3675,52,25800,1,5920
"63",0,0,0,39,0,0,1505
"64",1,0,2251,47,81270,0,1886
"65",1,0,1960,40,19350,1,2629
"68",0,1,2080,38,25800,1,3588
"70",1,1,2149,41,46440,1,6768
"72",0,1,1960,51,24510,1,6163
"73",1,1,0,42,0,0,3584
"75",1,1,1991,50,52890,1,6054
"76",0,1,2000,45,20640,1,3032
"600",1,0,2533,48,6708,1,1507
"634",1,1,2794,32,21930,1,7487
"637",1,0,2695,59,171570,1,1430
"668",1,0,1936,46,43860,1,5382
"674",0,0,2562,52,72627,1,7428
"688",0,0,7,37,258,0,2364
"692",1,0,2014,25,31605,1,5677
"701",1,0,2639,47,151252.5,1,1472
"723",0,0,1960,31,29025,1,2168
"731",1,0,3388,37,80625,1,1030
