date,interest
2016-11-04,4
2016-11-05,0
2016-11-06,0
2016-11-07,4
2016-11-08,0
2016-11-09,0
2016-11-10,0
2016-11-11,4
2016-11-12,0
2016-11-13,0
2016-11-14,0
2016-11-15,0
2016-11-16,4
2016-11-17,7
2016-11-18,7
2016-11-19,7
2016-11-20,0
2016-11-21,4
2016-11-22,0
2016-11-23,0
2016-11-24,0
2016-11-25,0
2016-11-26,0
2016-11-27,0
2016-11-28,3
2016-11-29,0
2016-11-30,0
2016-12-01,0
2016-12-02,4
2016-12-03,0
2016-12-04,4
2016-12-05,3
2016-12-06,7
2016-12-07,5
2016-12-08,9
2016-12-09,9
2016-12-10,11
2016-12-11,4
2016-12-12,3
2016-12-13,3
2016-12-14,0
2016-12-15,0
2016-12-16,4
2016-12-17,4
2016-12-18,4
2016-12-19,0
2016-12-20,0
2016-12-21,4
2016-12-22,8
2016-12-23,4
2016-12-24,0
2016-12-25,0
2016-12-26,0
2016-12-27,4
2016-12-28,0
2016-12-29,4
2016-12-30,0
2016-12-31,4
2017-01-01,0
2017-01-02,0
2017-01-03,4
2017-01-04,5
2017-01-05,4
2017-01-06,0
2017-01-07,6
2017-01-08,4
2017-01-09,0
2017-01-10,0
2017-01-11,78
2017-01-12,100
2017-01-13,51
2017-01-14,15
2017-01-15,16
2017-01-16,18
2017-01-17,5
2017-01-18,20
2017-01-19,43
2017-01-20,48
2017-01-21,38
2017-01-22,31
2017-01-23,18
2017-01-24,7
2017-01-25,19
2017-01-26,17
2017-01-27,16
2017-01-28,12
2017-01-29,4
2017-01-30,13
2017-01-31,12
2017-02-01,15
2017-02-02,17
2017-02-03,42
2017-02-04,16
2017-02-05,29
2017-02-06,24
2017-02-07,12
2017-02-08,16
2017-02-09,29
2017-02-10,34
2017-02-11,45
2017-02-12,35
2017-02-13,31
2017-02-14,45
2017-02-15,38
2017-02-16,37
2017-02-17,89
2017-02-18,68
2017-02-19,100
2017-02-20,43
2017-02-21,52
2017-02-22,24
2017-02-23,28
2017-02-24,42
2017-02-25,68
2017-02-26,52
2017-02-27,34
2017-02-28,15
2017-03-01,23
2017-03-02,31
2017-03-03,29
2017-03-04,29
2017-03-05,9
2017-03-06,31
2017-03-07,22
2017-03-08,28
2017-03-09,20
2017-03-10,25
2017-03-11,24
2017-03-12,18
2017-03-13,0
2017-03-14,16
2017-03-15,16
2017-03-16,8
2017-03-17,17
2017-03-18,0
2017-03-19,15
2017-03-20,8
2017-03-21,16
2017-03-22,16
2017-03-23,54
2017-03-24,17
2017-03-25,20
2017-03-26,19
2017-03-27,16
2017-03-28,16
2017-03-29,12
2017-03-30,24
2017-03-31,8
2017-04-01,20
2017-04-02,20
2017-04-03,16
2017-04-04,20
2017-04-05,28
2017-04-06,24
2017-04-07,8
2017-04-08,0
2017-04-09,20
2017-04-10,8
2017-04-11,8
2017-04-12,0
2017-04-13,13
2017-04-14,27
2017-04-15,15
2017-04-16,10
2017-04-17,17
2017-04-18,16
2017-04-19,8
2017-04-20,12
2017-04-21,8
2017-04-22,10
2017-04-23,10
2017-04-24,8
2017-04-25,8
2017-04-26,20
2017-04-27,16
2017-04-28,13
2017-04-29,10
2017-04-30,15
2017-05-01,24
2017-05-02,20
2017-05-03,8
2017-05-04,8
2017-05-05,22
2017-05-06,9
2017-05-07,18
2017-05-08,7
2017-05-09,11
2017-05-10,29
2017-05-11,26
2017-05-12,8
2017-05-13,18
2017-05-14,19
2017-05-15,19
2017-05-16,12
2017-05-17,16
2017-05-18,31
2017-05-19,12
2017-05-20,10
2017-05-21,19
2017-05-22,0
2017-05-23,15
2017-05-24,24
2017-05-25,20
2017-05-26,8
2017-05-27,10
2017-05-28,10
2017-05-29,9
2017-05-30,16
2017-05-31,19
2017-06-01,16
2017-06-02,8
2017-06-03,0
2017-06-04,23
2017-06-05,46
2017-06-06,38
2017-06-07,35
2017-06-08,23
2017-06-09,20
2017-06-10,19
2017-06-11,29
2017-06-12,31
2017-06-13,23
2017-06-14,8
2017-06-15,28
2017-06-16,8
2017-06-17,14
2017-06-18,10
2017-06-19,12
2017-06-20,11
2017-06-21,8
2017-06-22,8
2017-06-23,8
2017-06-24,14
2017-06-25,10
2017-06-26,16
2017-06-27,90
2017-06-28,100
2017-06-29,67
2017-06-30,81
2017-07-01,47
2017-07-02,55
2017-07-03,53
2017-07-04,29
2017-07-05,30
2017-07-06,90
2017-07-07,49
2017-07-08,42
2017-07-09,24
2017-07-10,48
2017-07-11,32
2017-07-12,16
2017-07-13,36
2017-07-14,25
2017-07-15,19
2017-07-16,10
2017-07-17,25
2017-07-18,24
2017-07-19,12
2017-07-20,24
2017-07-21,12
2017-07-22,9
2017-07-23,14
2017-07-24,16
2017-07-25,12
2017-07-26,16
2017-07-27,8
2017-07-28,17
2017-07-29,19
2017-07-30,9
2017-07-31,8
2017-08-01,38
2017-08-02,22
2017-08-03,8
2017-08-04,12
2017-08-05,20
2017-08-06,40
2017-08-07,32
